taxon	reads
28132	883412
39777	467080
2682456	464438
1660	396726
1177574	396451
39778	323675
2663009	296098
199	272443
2682455	261510
1304	261077
423477	200765
1318	178365
712623	177781
3059028	171398
29466	131873
43675	113800
2899133	103274
860	102138
470565	100494
28133	98039
102148	86678
114527	72022
46124	69294
3098075	57349
28131	56260
9606	51981
2972784	48936
712633	45051
28037	43126
3098076	42022
2610896	41946
3077584	39983
1303	39890
729	39815
76859	36845
76857	33192
68892	31956
1313	31613
1852377	31369
3059030	28707
84135	27005
2759692	24367
851	23851
28135	22543
2490855	18643
28129	14610
52773	14282
1308	13945
1839799	13319
684066	13137
1379	10415
712538	9713
3118470	9711
28125	9522
617123	9502
1583098	9492
2841264	9429
2954513	9373
2954545	8327
248315	7994
157687	7552
28137	7251
2975324	7207
155615	7188
713030	7145
712357	6858
1302	6297
1311	6222
2047	5745
2598453	5560
1759399	5547
76860	5264
1156431	5186
2819619	4878
28128	4540
1433513	4285
1343	4000
114528	3890
39491	3875
76123	3839
1307	3704
1328	3586
285729	3496
2993430	3187
2382163	3126
86332	3071
544580	3002
1305	2978
78535	2977
1234680	2969
1747	2906
33033	2906
28124	2624
1902136	2566
29391	2563
2144175	2545
1334	2538
282402	2492
59561	2405
131111	2393
712624	2341
178339	2295
1019	2251
257758	2247
837	2152
28127	2071
1314	2070
45634	2019
1338	1917
69823	1795
2975349	1785
2576376	1781
712471	1719
137732	1707
3038077	1705
2420310	1589
1675036	1517
907	1348
2801997	1339
712435	1324
726	1313
2133944	1285
165179	1278
1232428	1278
2093824	1258
2709403	1166
712710	1160
43768	1155
1017	1102
2794089	1093
162156	1051
712310	1034
204	1032
817	1020
1884263	977
727	973
2763540	936
445930	932
2789425	921
853	851
712528	844
77095	830
859	827
113107	802
554406	802
2708117	787
43765	780
158	780
1018	752
1496	749
712361	749
454154	746
410072	738
172042	731
644007	703
1309	700
1522	692
109328	676
69710	660
712116	658
1352	649
131110	640
3022127	636
46125	632
2572088	607
3003601	603
2754044	602
712362	597
1785996	587
1501662	584
39950	577
1335	572
28113	568
1661	543
824	538
589437	525
33039	519
2913621	512
1351	507
34105	505
82348	498
2763068	497
1624	494
361101	485
2722820	482
2545799	473
1396	472
33040	471
2518605	462
1280	462
2583584	443
322095	442
831	442
2691580	438
3029272	433
2913614	429
1655	424
327575	423
712122	412
66228	407
2806552	405
2702	402
2913616	402
589436	401
562	398
1916	397
3068634	391
818	387
2057800	387
28188	387
839	385
2744574	378
29389	378
157691	378
157688	372
1531	371
1261635	367
357276	366
52774	364
411486	362
1310	361
1329	361
166486	359
699041	358
29347	352
2937774	351
135079	349
675090	345
1785995	342
2079536	341
328813	337
1888195	335
487173	329
84030	322
2081702	319
1718	315
1340	314
2913620	313
103621	312
3058373	312
2954734	310
2598457	306
185007	302
28264	299
657323	298
2763672	296
39488	294
671211	293
573	292
154046	289
1667168	286
147802	285
1502	284
820	279
823	276
46507	276
301301	275
203	271
3028082	269
208479	267
649756	267
29375	265
3077723	263
88431	262
656366	261
39486	260
1260	259
1392	258
505	257
1573823	256
52771	251
999183	251
2563662	250
3028070	250
2094151	249
28119	249
2518971	248
111015	248
33905	247
200	247
2718	246
39485	246
1912897	246
3036302	236
44008	234
2763062	234
821	234
28111	232
2572084	231
1261634	230
47671	224
58231	219
45851	219
2733571	218
1828	218
33007	218
2820817	217
1336	217
712411	217
3095337	216
732	216
2758572	215
2811781	213
1965590	213
84112	213
33035	212
1912795	211
1659	209
9	208
1243007	207
2591108	207
595468	206
1737424	205
2420309	203
1750	203
