taxon	reads
28037	1240997
1313	854245
735	439403
729	309368
726	259013
1303	238987
1379	193080
727	190037
2993430	181008
712310	153733
2819619	139153
9606	132359
1433513	114349
257758	111722
2598453	104375
483	54296
137732	36540
43675	34443
3077584	30059
1302	26750
28132	24105
487	22470
1305	21584
712633	21007
712435	20940
490	18596
1177574	15862
2937985	15716
1902136	15421
1304	15023
1307	12546
28131	11983
28133	11390
1328	11326
1318	10998
2975349	10650
712623	9944
1311	9758
28449	9739
2972784	9537
2759692	8882
2576376	8839
486	8770
29466	8759
45634	8556
3038077	8107
68892	8076
732	8035
718	7951
712624	7812
1759399	7549
78535	7472
28125	6912
189834	6810
76860	6666
470565	6250
34105	6060
84135	5757
1156431	5719
1308	5641
488	5587
2663009	5418
2047	5276
29391	5155
85404	5099
485	5026
39777	5006
76857	4860
85402	4820
738	4629
75985	4625
715	4467
2133944	4361
1314	4317
837	4148
2820817	4110
162156	4041
1796613	3946
423477	3908
739	3867
111844	3861
199	3849
747	3807
1343	3580
1338	3580
46124	3571
544580	3547
1334	3534
28129	3484
28135	3445
2030797	3406
3098076	3316
157687	3278
2770636	3265
644007	3020
1056807	3000
28127	2916
76123	2847
712471	2841
2866570	2811
821	2782
33040	2781
28137	2753
817	2744
714	2738
165179	2730
684066	2687
2682456	2666
2610896	2645
46125	2630
76859	2585
1234680	2510
2382163	2494
495	2476
371601	2438
712150	2384
249188	2350
454154	2327
113107	2317
47735	2294
387661	2279
1660	2270
28901	2219
730	2108
728	2065
750	2041
2972775	1959
254839	1937
2682455	1909
387090	1872
197575	1865
823	1853
2937774	1818
484	1810
28111	1783
315405	1773
3098075	1727
3077723	1723
562	1688
2518605	1664
820	1620
2899133	1614
28119	1604
51049	1576
1351	1565
123824	1562
1335	1550
28128	1530
712116	1463
851	1454
2691580	1437
716	1437
12402	1427
1566990	1409
818	1393
230709	1387
36874	1341
1624	1335
712362	1273
157339	1269
322095	1257
1888195	1240
3059028	1228
1019	1221
39778	1212
329854	1195
3020829	1193
2913621	1182
357276	1179
2913616	1160
1432056	1144
1917441	1129
2801997	1081
1796644	1078
1501662	1067
82348	1067
46506	1058
2913614	1043
1443036	1024
47671	1021
3077590	1002
28113	995
1032623	992
1329	983
28124	977
2913620	977
172042	964
1309	952
2686210	944
2715212	926
2789425	923
400065	916
731	914
839	891
291644	888
2420310	853
2778911	848
2563662	842
47678	837
1871109	828
2518971	820
712357	819
1573823	816
720	801
2530390	793
3028083	786
282402	772
860	770
28118	762
1346	754
361101	749
393921	746
34085	741
197614	733
753	732
762	722
1785995	719
33038	716
1345	706
2792859	701
2827233	700
291645	693
2975324	690
1280	671
2490855	665
505	660
187101	658
2781599	656
77095	655
1814128	654
2844383	648
573	644
754	630
1326	616
1017	613
3059030	613
1839799	612
2545799	610
1018	604
29389	598
867595	592
28116	590
712710	587
46503	586
114527	583
155615	581
1340	578
51161	576
2021971	574
109472	570
1310	563
2954545	550
1825069	528
328812	525
712361	523
470	522
3118470	503
1349	499
338188	498
477666	494
1348	494
267212	494
505341	489
1585976	489
1341	489
102886	486
3133966	485
1396	485
2598457	483
1491	482
2767188	480
248315	479
2709396	478
2664091	469
1496	469
1811193	469
674529	468
2488810	461
43768	457
2911526	456
327575	454
2954513	448
655307	447
97481	446
33033	442
1628156	436
1241978	435
2951805	428
1502	428
2487072	426
2829812	424
2094151	421
626932	417
3028084	416
2968490	413
2911527	413
9	409
554406	408
2778370	407
632	398
1583098	396
254785	395
2847299	387
1336	381
2004710	381
1319	379
2679995	375
1160795	373
221402	370
1653831	357
2173853	357
1655	354
1701814	352
285729	352
253	347
617123	346
2713414	344
866807	343
3028082	338
28251	336
1117645	336
1760811	333
204	332
149016	331
1853278	331
102148	330
1965590	328
2606626	328
2972761	327
2708117	327
712538	326
109328	319
1852374	318
3117552	309
2650157	307
157692	300
1243007	300
2949635	299
538949	299
2920939	294
1352	293
2714927	292
1316596	290
2496028	289
254955	280
516051	279
1735111	277
258	276
1493872	274
502	271
45254	270
2698458	267
1392	265
2585118	265
1940319	265
2840371	262
2490633	258
996	258
492	257
668	256
250	255
1642646	254
29394	254
2497989	253
2666100	253
2763022	252
2777577	251
2583584	250
1598	250
2897181	248
539	246
1358	245
157691	241
2841264	239
713030	237
61592	236
158	231
653940	231
712368	231
666	229
3058373	228
2986834	227
615	225
3048589	224
2830782	221
188913	221
2562892	220
1785996	219
2093856	215
1747	213
651561	213
546	209
2545455	209
1099853	209
1727163	208
1642647	207
1241981	207
157688	207
1217282	206
72	204
1307839	201
