taxon	reads
47770	4607248
9606	37517
95486	26964
1587	15080
1604	10069
863372	9485
1774	9071
2738126	6514
2018067	6071
40324	5945
2082188	2859
1584	2846
33959	2337
1590	2105
267818	1890
2976884	1588
303	1569
1596	1504
1579	1299
1597	1172
85698	1170
93064	1110
1598	853
2954102	830
2742601	751
28038	708
1613	686
227942	670
2107999	660
83683	633
1496	613
1396	605
2745514	581
1392	505
1280	472
2282124	457
217203	435
87883	410
1624	406
47883	399
227945	379
1600	355
292	335
1353891	332
72557	304
3048613	301
1218493	276
13690	276
68895	263
1615674	253
1428	250
492670	245
1827300	241
60550	240
151781	238
2605424	231
82367	228
1639	225
36809	210
179879	209
1423	207
1747	203
