taxon	reads
28037	1240529
1313	856139
735	438694
729	308716
726	258336
1303	239356
1379	192821
727	191037
2993430	181705
712310	152644
2819619	139069
9606	132149
1433513	114402
257758	111692
2598453	104298
483	54388
137732	36502
43675	34377
3077584	30130
1302	26720
28132	24045
487	21925
1305	21623
712633	20964
712435	20918
490	18514
1177574	15797
2937985	15774
1902136	15385
1304	14818
28131	11994
1307	11536
28133	11411
1328	11307
1318	10938
2975349	10589
712623	9941
28449	9775
2972784	9412
29466	9026
2759692	8987
2576376	8723
486	8593
45634	8486
3038077	8202
68892	8049
732	8010
718	7840
712624	7730
1759399	7534
28125	6895
76860	6805
189834	6796
1311	6682
470565	6273
34105	6065
1156431	5772
84135	5763
488	5597
2663009	5564
1308	5413
2047	5273
78535	5252
485	5235
29391	5148
75985	5108
85404	5045
39777	4980
76857	4948
85402	4791
715	4587
738	4556
2133944	4359
2820817	4136
837	4083
162156	4033
1796613	3924
739	3883
423477	3828
199	3821
111844	3755
1334	3646
1338	3621
747	3577
46124	3564
1314	3561
544580	3550
1343	3533
28129	3501
28135	3441
2030797	3390
3098076	3351
157687	3299
2770636	3219
1056807	3031
644007	2994
28127	2910
33040	2853
821	2850
712471	2840
2866570	2832
76123	2830
165179	2741
684066	2741
28137	2738
817	2728
714	2710
46125	2646
2610896	2642
2682456	2568
2382163	2525
1234680	2479
495	2435
28901	2407
712150	2381
249188	2377
113107	2348
371601	2342
454154	2324
47735	2278
1660	2269
387661	2258
728	2094
730	2086
76859	2067
750	2047
2972775	1974
254839	1920
387090	1886
823	1874
2682455	1855
484	1832
2937774	1818
315405	1803
3077723	1796
197575	1764
28111	1747
3098075	1669
2518605	1646
28119	1629
2899133	1615
51049	1589
1351	1580
820	1566
851	1553
123824	1548
1335	1547
818	1527
28128	1506
712116	1483
716	1468
2691580	1432
12402	1422
1566990	1404
230709	1398
36874	1339
562	1338
1624	1330
1888195	1271
712362	1262
322095	1255
157339	1250
3059028	1226
1019	1224
3020829	1202
39778	1185
2913621	1184
329854	1173
2913616	1153
357276	1147
1432056	1107
1917441	1102
2801997	1077
1796644	1074
1501662	1069
82348	1058
46506	1056
2913614	1038
47671	1021
1329	1017
2563662	1017
1443036	1015
1309	1005
28113	993
1032623	979
2913620	975
28124	967
172042	965
3077590	957
2686210	942
2715212	931
2844383	915
400065	912
2789425	902
731	898
291644	893
839	890
2778911	859
28116	851
1871109	845
860	834
47678	821
712357	817
2518971	815
1573823	814
2530390	807
28118	782
720	779
1346	777
282402	767
3028083	758
393921	747
34085	747
361101	731
753	730
762	715
33038	715
197614	709
2975324	699
291645	698
1785995	689
2827233	688
1345	686
1814128	681
2781599	676
2490855	664
505	661
1839799	658
155615	655
187101	654
77095	654
754	646
1326	626
2545799	618
1017	615
3059030	611
1280	608
867595	595
1496	586
712710	584
1018	583
51161	583
114527	580
109472	579
1340	578
2792859	578
29389	576
46503	568
2021971	564
2847299	558
1825069	557
2420310	555
1310	552
470	539
2598457	526
328812	519
2954545	513
712361	503
1341	502
102886	501
267212	498
477666	493
1585976	493
1349	492
338188	489
3118470	489
573	488
1491	488
3133966	484
2709396	482
505341	478
248315	473
674529	470
2767188	468
327575	464
2488810	463
1348	461
2911526	461
632	460
1811193	457
655307	457
97481	455
43768	454
2664091	444
33033	441
2778370	439
1628156	438
2487072	434
2954513	434
1502	433
3028084	426
2829812	426
1241978	420
626932	418
2951805	418
2094151	416
2968490	411
1396	405
554406	405
2911527	403
9	396
2679995	391
1583098	383
1701814	381
2173853	379
2004710	378
254785	378
1336	374
285729	373
221402	367
28251	366
3028082	358
1653831	358
253	352
587	348
617123	345
1655	344
866807	342
2713414	341
1853278	336
1117645	333
149016	333
204	331
1760811	331
109328	330
2606626	330
712538	321
2708117	320
1352	319
1965590	318
102148	317
1160795	313
1852374	313
3117552	304
538949	304
157692	299
1243007	299
2949635	298
2650157	297
1316596	295
2714927	291
2496028	286
502	285
2920939	283
254955	281
666	281
516051	280
1735111	277
258	275
1493872	274
45254	272
2698458	267
2585118	267
1392	266
2666100	266
2763022	259
492	259
996	258
539	258
29394	258
2840371	256
2420309	255
250	255
1319	254
668	254
1642646	253
2497989	253
2897181	251
2777577	248
3058373	245
2490633	243
713030	241
1428	241
1940319	240
653940	239
1598	237
61592	236
2040624	235
2841264	234
2986834	227
3048589	226
2830782	226
712368	225
1358	225
158	225
157691	224
651561	221
1785996	219
188913	219
2562892	217
615	214
1217282	213
1727163	208
1747	208
2545455	208
1099853	207
1642647	206
1241981	205
2093856	205
1848904	204
72	204
157688	202
1307839	201
33053	189
2583584	188
54291	181
2420308	166
546	161
54736	147
2707174	117
1448274	112
2712024	89
1111760	82
496	82
641148	82
1423	71
2829835	71
158836	67
150055	67
3060513	65
246787	64
2049935	63
138074	62
492670	61
57706	60
2686364	56
2986822	55
2841656	53
2972761	52
1354	51
670	51
2912188	46
283734	45
102684	44
1288	43
2745895	42
59310	39
588	39
623	38
299767	38
46507	37
194197	37
1639	36
1390	36
208224	34
61645	33
645	33
2763068	32
1398	32
1853276	32
38293	32
582	31
1701828	30
1639133	30
1363	30
326522	29
1359	29
1463165	28
1282	28
1406	26
216816	26
44008	26
2785630	26
2025876	25
48296	25
1478	24
40542	23
671211	23
2500543	22
2528203	21
640030	21
1931275	20
1815583	20
1590	20
450367	20
1405	20
584	20
564	19
493	19
44009	19
1296	19
54005	19
1599	19
2650158	18
28038	18
28091	18
1613	18
47715	17
81947	17
197	17
2883106	17
1287640	16
556259	16
589437	16
1579	16
287	16
881260	15
1584	15
1470200	15
1597	15
706438	15
83655	14
40091	14
244366	14
2751	14
864336	14
2026186	14
2949758	14
2785531	14
1534	14
1648	14
2755405	13
607712	13
607711	13
42109	13
28198	13
147802	13
1452	12
589436	12
2698683	12
2098	12
1656	12
2696063	12
621	12
67828	12
654	11
3045146	11
69710	11
1581	11
1701813	11
293387	11
3036303	11
2690380	10
1720083	10
3070681	10
178214	10
553611	10
2572084	10
1233873	10
114186	9
33037	9
633	9
2971264	9
1404	9
1408	9
1714840	9
3066235	9
146819	9
2717374	9
548	9
622	8
2954552	8
3003229	8
43662	8
672	8
1827285	8
1874361	8
2851015	8
51663	8
1623	8
76853	8
2884834	8
1604	8
420336	8
1520	8
1515	8
2303331	8
458197	8
1835721	8
1509	8
1366	7
63363	7
84030	7
1748967	7
52443	7
669	7
1619311	7
208962	7
67827	7
1539298	7
2912675	7
1675686	7
186490	7
47770	7
1659192	7
2932183	7
1701811	7
1870984	7
42422	7
62322	7
3050383	7
648	7
87541	7
1778263	6
1260	6
2507161	6
82996	6
70864	6
2949878	6
663	6
3138069	6
1642	6
511	6
1890302	6
29556	6
1582439	6
2653681	6
1530123	6
260554	6
2969821	6
1245	6
2738	6
2921573	6
2093824	6
33959	6
151781	6
2732161	6
637971	6
1294	6
2419772	6
86663	6
290053	6
2976812	6
69966	6
236753	6
2954544	6
2681987	6
2806552	5
2742626	5
51669	5
137591	5
938155	5
1773	5
1486991	5
337	5
1071078	5
74109	5
1851514	5
181655	5
550	5
1460447	5
2976810	5
1517	5
3029174	5
182710	5
208479	5
691	5
850	5
2026188	5
859	5
2764326	5
3016050	5
3127115	5
1196083	5
53345	5
2518994	5
3036300	5
2759528	5
237258	5
168169	5
1643513	5
584609	5
40324	5
2027290	5
1571	4
82983	4
777	4
2686358	4
1151742	4
238	4
1221500	4
29483	4
565	4
208223	4
367190	4
72026	4
305719	4
152268	4
1290	4
1776384	4
86664	4
1734049	4
261299	4
1761012	4
2811778	4
71237	4
884684	4
1796616	4
373687	4
2942204	4
3031727	4
328814	4
2600598	4
1005039	4
326523	4
504	4
64160	4
29575	4
2714947	4
1522	4
571	4
1561	4
755731	4
2068654	4
1519	4
308354	4
2709784	4
2505970	4
675090	4
33010	4
1731	4
2044467	4
1871025	4
1596	4
1587	4
120682	4
29447	4
2810348	4
2859227	4
84112	4
2102	4
2962679	4
180957	4
2420313	4
71452	4
28450	4
1124597	4
2874284	4
867076	4
1471761	4
693075	4
1448276	4
34062	4
2984951	3
3037457	3
1701837	3
218208	3
650003	3
2841925	3
687	3
3053613	3
28110	3
299583	3
263	3
2749996	3
674	3
2545632	3
80679	3
1050	3
2005262	3
1033854	3
13373	3
36873	3
57037	3
3025672	3
64104	3
580165	3
856	3
194196	3
3077946	3
2173034	3
1970093	3
36745	3
1929246	3
29347	3
649756	3
168384	3
252514	3
1235990	3
585	3
1574161	3
235559	3
634113	3
592316	3
157673	3
1499973	3
860353	3
1603	3
468911	3
2925830	3
1749074	3
2095	3
3066320	3
47834	3
187452	3
1402	3
2203724	3
2885764	3
218144	3
526944	3
169435	3
13076	3
1283	3
1465	3
2283160	3
1426	3
1397	3
561879	3
522262	3
1286	3
1284	3
89152	3
31909	3
2742683	3
285983	3
53442	3
671077	3
2995414	3
2815358	3
336810	3
1756149	3
1556	3
28200	3
2991715	3
1633	3
2099789	3
2976809	3
227945	3
28025	3
