taxon	reads
729	93174
28037	77486
1303	47590
43675	40074
544580	26599
1313	26372
29466	23950
712116	22821
199	22302
1302	20320
9606	17639
1379	13488
2819619	11695
76857	11572
33053	10138
1305	9599
28132	9365
2663009	9251
1655	8455
2820817	8300
1660	7994
28449	7365
43768	7363
1433513	6819
2682456	6717
1318	6588
1017	6480
2789425	5713
2047	5414
652716	5223
423477	4734
2598453	4693
2993430	4604
46124	4455
1304	4121
1019	3951
29391	3938
257758	3802
2975349	3712
712633	3676
712624	3658
47671	3485
113107	3470
3077584	3415
2682455	3406
1177574	3231
726	3207
470565	3119
2972784	2816
712623	2798
727	2785
45634	2686
76859	2655
2708117	2595
490	2548
327575	2386
2759692	2383
2545799	2381
172042	2341
39777	2276
68892	2258
2490855	2218
39778	2161
157687	2072
84135	1914
706438	1903
461393	1878
3038077	1877
28116	1620
496	1585
712150	1576
28133	1531
2866570	1498
1747	1349
1902136	1333
1759399	1305
732	1302
712357	1270
739	1230
208479	1225
2576376	1202
505	1187
860	1174
1018	1154
712362	1120
3098076	1097
821	1096
2610896	1028
1328	991
554406	968
3059028	942
539	918
488	886
1656	875
1156431	870
589437	870
712435	848
851	829
712310	828
3098075	814
818	757
1659	750
155615	742
1311	729
1343	721
2899133	720
28131	641
824	599
735	596
1338	584
1316596	565
1531	557
617123	549
204	548
3077723	545
562	536
712122	535
495	533
1234680	473
46125	467
1308	463
2972775	450
114527	444
684066	437
2382163	432
1583098	426
487	421
2420310	419
109328	412
1852377	397
1307	389
2975324	376
3077590	375
28129	360
102148	352
157692	342
28135	340
3059030	329
214856	314
157688	313
853	311
1839799	310
69823	296
47678	291
823	289
28137	286
1056807	285
267212	284
1871109	281
178339	279
154046	275
1496	267
712538	263
712710	261
2162637	257
249188	248
502	238
484	231
1796652	225
3058373	217
285729	216
2093857	213
1705617	210
1314	204
1160721	203
713030	201
718	199
2954513	196
76860	190
2718	182
714	181
2748316	174
1316593	173
28124	169
1334	163
33033	161
39488	160
486	154
2714355	151
2755559	148
52771	144
1309	144
78535	143
1336	141
76123	140
1750	138
641148	137
189834	134
747	134
1382	132
1658672	127
39491	126
1282	125
2954545	122
837	118
1161942	118
2929488	116
730	114
111015	114
61592	113
1884263	113
85402	113
40542	111
712528	108
2744574	107
52773	107
2528037	106
33039	105
39485	105
75985	104
157691	100
52774	94
203	93
712361	93
197575	92
248315	91
483	91
39486	90
715	88
328813	87
1660063	87
85404	87
28025	87
165179	85
338473	84
2722820	83
712368	83
485	83
1502	81
103621	79
40520	77
135079	77
28901	75
158	74
1851395	72
589436	72
2057798	72
45851	71
69710	70
38304	70
1785996	70
2763667	69
2079536	69
2564099	68
675090	68
397865	67
111844	67
2754044	67
28112	66
214851	66
254839	65
2057743	65
28128	64
28118	63
712471	62
2560010	62
817	61
216816	61
2841264	60
282402	60
2057800	60
1335	59
2770636	58
28125	57
738	56
357276	56
166486	56
82348	55
2030797	54
47735	54
2763068	52
230709	52
2866573	50
3118470	50
2321394	50
716	50
28127	48
1965590	48
2789424	48
1960083	47
1290	47
2937985	47
655307	47
1501662	47
3020829	46
2737173	46
1340	45
40214	45
2763540	45
411486	42
1931275	42
2781599	42
712411	41
649756	41
34062	40
1260	40
1680	39
1280	39
1888195	39
1585976	39
33040	38
88431	38
46503	38
820	38
114528	37
2598457	37
1310	37
2763056	36
2099583	36
120682	36
149016	36
39950	36
157339	36
1352	35
2109687	35
169435	35
2133944	35
51049	35
1796644	34
1270	34
45243	34
2563662	34
750	33
116085	33
1701811	33
731	33
3030639	33
2785025	32
1390131	32
409322	31
728	31
1853278	31
86332	31
143361	31
371601	30
537874	30
12402	30
28123	30
2827233	29
753	29
2267833	29
59779	29
1396	29
1341	29
2763672	29
411483	28
400065	28
1329	28
162156	28
2173853	28
137732	28
333367	28
2081702	27
1643513	27
123824	26
292800	26
2497989	26
671211	25
1917441	25
315405	25
3028082	25
2664091	25
1982626	25
1785995	25
53419	25
301301	25
322095	25
1032623	25
3019969	24
1348	24
754	24
80878	24
77095	24
1423	24
2040624	23
859	23
361101	23
2714358	23
2021971	23
1811193	23
538949	22
2572088	22
33035	22
24	22
454154	22
1825069	22
1351	22
3115152	22
131111	22
253	22
1346	21
2584944	21
34085	21
556499	21
2840371	21
33038	21
29389	21
1443036	21
573	21
3046382	20
3081750	20
1349	20
40545	20
213418	20
147802	20
58231	20
82380	20
3030016	20
28188	20
28091	20
2093824	20
44008	19
28111	19
1833	19
158836	19
2912675	19
28113	18
59310	18
1979527	18
328814	18
2801997	18
410072	18
80866	18
1550024	18
418240	18
2004710	18
46506	18
2498451	18
1448274	17
51161	17
576610	17
1326	17
239935	17
1853276	17
287	17
102886	17
52227	17
2709396	16
291644	16
1624	16
3003601	16
2714353	16
3028084	16
197614	16
2583584	16
3028083	16
2912188	16
2966552	16
3030017	16
2778911	16
454155	16
2666100	16
2490633	15
470	15
867595	15
39496	15
2844673	15
150055	15
85336	15
3047030	15
2794089	15
180282	15
253239	15
884684	15
3070656	15
236753	15
2829812	15
36874	15
1940621	15
492	14
1345	14
1701837	14
2780922	14
29388	14
762	14
53443	14
194197	14
332186	14
29347	14
1938334	13
2913614	13
316	13
2094151	13
254785	13
1539298	13
831	13
2108523	13
1472345	13
1491	13
2913621	13
2049935	13
3079303	13
200	13
109472	12
29394	12
1735111	12
37923	12
2679995	12
2686210	12
1111760	12
927786	12
1659192	12
640030	12
291645	12
2585118	12
46228	12
1912897	12
1261635	12
1815583	12
438033	11
720	11
87883	11
1814128	11
1432056	11
2614441	11
28090	11
387090	11
1660080	11
2518971	11
1099853	11
221402	11
38286	11
326522	11
2763022	11
2937774	11
2806552	11
674529	11
265175	11
1117645	11
84030	11
1940319	10
2068655	10
2955511	10
329854	10
477666	10
72000	10
1852381	10
1275	10
2929492	10
168384	10
76517	10
33011	10
261965	10
1796620	10
1358	10
102684	10
1520	10
1392	10
1796613	10
246787	10
376805	10
2691580	10
103810	10
505341	10
1609531	10
152794	10
1522	10
1354	10
284035	10
2364787	10
587	10
2709403	10
651561	10
1261634	10
2121	10
2124	10
301	10
839	10
536441	10
38284	9
237258	9
2589790	9
553611	9
2763669	9
303	9
40215	9
33034	9
28026	9
644	9
2606626	9
1288121	9
2585119	9
2742134	9
666	9
1363	9
2997336	9
54005	9
1848904	9
2996034	9
648	9
166485	9
2929490	9
2866628	9
2929494	9
2994078	9
1288	9
2055947	9
28119	9
986	9
29370	9
2934315	8
1871021	8
1653434	8
89053	8
2230877	8
97481	8
1982369	8
181655	8
607712	8
76760	8
33010	8
1573823	8
33025	8
1470200	8
1493872	8
1598	8
2911526	8
3029272	8
2018305	8
2929799	8
856	8
2530390	8
1796635	8
2726954	8
53374	8
2763062	8
3028070	7
420336	7
683735	7
3123317	7
187029	7
1217282	7
2528203	7
1297617	7
1322	7
328812	7
2795031	7
2576307	7
702967	7
622	7
2820270	7
2917790	7
33007	7
1283	7
3122075	7
84595	7
2650157	7
66228	7
2899121	7
2602769	7
445930	7
13690	7
104336	7
59843	7
607711	7
74426	7
9	7
585	7
2956784	7
2861282	7
396015	7
187101	7
1501392	7
1168034	7
2766537	7
670	7
2086584	7
1930557	7
40324	6
2560785	6
2576756	6
1514074	6
680	6
1653831	6
2305221	6
3045146	6
97138	6
3095337	6
2929495	6
138851	6
1928	6
626932	6
2759167	6
546	6
1661	6
582	6
152682	6
2806443	6
1715860	6
3042315	6
35754	6
2733571	6
131110	6
181487	6
3117552	6
29348	6
615	6
1265445	6
587753	6
2058175	6
2931930	6
1124835	6
1530123	6
558152	6
3048613	6
2954089	6
762954	6
2900738	6
83451	6
1643512	6
2951805	6
290053	6
849	6
2764326	6
436515	6
34073	6
656366	6
1679721	6
119981	6
1982584	6
644007	6
512298	6
28446	6
879970	6
391953	6
2830994	6
28450	6
247	6
1716543	6
1561	6
393921	6
238834	6
89014	6
83655	6
28035	6
157673	6
654	6
456	6
339	6
33889	6
33043	6
1566990	6
2766701	5
827	5
3093923	5
34105	5
1892	5
1744	5
89153	5
66219	5
1642647	5
3016342	5
1942	5
1470347	5
544645	5
2173034	5
1264	5
2975760	5
45254	5
2715212	5
570161	5
2666138	5
2023866	5
1216932	5
1702238	5
2779518	5
2729175	5
38293	5
2607656	5
232259	5
1382237	5
3036300	5
3051176	5
493	5
178214	5
33945	5
938288	5
1219491	5
1685	5
2836373	5
1517	5
2685834	5
2929800	5
387661	5
2855841	5
2864040	5
198620	5
1302235	5
2864101	5
1874061	5
2866278	5
1945657	5
935293	5
2589797	5
313588	5
1663591	5
1936081	5
3076087	5
2921695	5
