taxon	reads
165179	10719851
821	4930623
46503	1259912
46506	934855
338188	693364
818	492497
47678	410510
454154	272562
823	271588
371601	213252
2518605	196652
817	196110
820	190624
853	180844
2929493	146573
28118	142881
357276	140541
387090	130116
328813	128368
562	107018
2650157	101741
214856	96182
28116	89090
39491	84199
411483	81143
674529	77196
39485	71338
40545	69206
2585118	61421
2763672	58103
2792859	46105
2847299	44037
2929491	42002
387661	41980
2494234	40739
2763022	40705
2823317	38902
2929490	38060
2929489	38024
2755405	37697
626940	37300
301301	36037
292800	35642
2109687	35358
1472417	35263
1288121	34787
39496	34135
2093857	32984
2951805	32833
2860051	32434
2714355	31891
33039	30689
410072	28619
538949	28192
1550024	27726
626932	27593
1965590	23779
291644	23755
162156	23358
291645	22919
512298	22131
2715212	22001
74426	21431
214851	21206
1160721	20708
2108523	20223
3030639	20213
2714353	20149
88431	19868
77095	19799
2162637	19613
901	18450
2929495	17683
2922859	17643
2972761	16878
166486	16624
2585119	16601
2714358	15579
1796613	15407
2584944	15066
2364787	14297
1297617	13780
28111	13722
216816	13120
2478954	12951
169435	12685
2610895	12177
1737424	12072
2785531	11188
2650158	11097
556259	10616
1280	10589
3073964	10535
2927224	10373
1680	10256
2528203	10181
329854	10112
2929494	9624
2025876	9333
39486	8876
2929488	8798
33038	8548
39488	8409
2929492	8004
2922858	7862
2763056	7807
1472416	7738
328812	7420
28113	7068
1852381	6786
411486	6315
657323	5789
28119	5558
3117552	5388
2093856	5189
1681	5169
9606	4899
89014	4741
1686	4696
208479	4612
729	4524
649756	4483
28901	4471
1496	4300
623	4166
2479767	4097
2662363	4080
322095	4015
2780922	3930
29347	3649
57975	3588
2685834	3501
28132	3428
28131	3392
477666	3294
154046	3137
1177574	3095
1099853	3089
544645	3054
2774873	2919
1217282	2792
3068329	2694
282402	2591
28128	2507
28129	2198
1522	2179
116085	2050
2913614	2031
1573823	1984
239935	1951
2606626	1907
1502	1887
1773	1862
2530390	1830
2518971	1828
1531	1761
2023866	1754
837	1727
28135	1694
3079303	1687
246787	1669
751585	1631
839	1631
76123	1629
45851	1577
2763062	1529
1261635	1500
2913621	1487
100886	1452
1261634	1451
573	1446
2094151	1436
45254	1383
303	1342
1685	1332
1243007	1307
847	1258
1871021	1250
78331	1243
1352	1240
1982626	1235
28133	1207
2086584	1201
154288	1176
1642646	1174
621	1159
2937774	1143
28127	1108
2691580	1086
34073	1073
1168034	1056
1916	1028
287	990
622	980
3079302	962
2913620	956
1796646	956
1796616	954
376805	940
2763670	925
1912897	918
3028070	914
1642647	885
28137	882
867595	881
1796652	874
2857061	873
2913616	856
28125	855
1796620	854
28251	843
2801997	836
1355477	836
36874	826
2709410	824
2133944	820
2763667	804
712710	804
2763669	803
2855434	790
89153	788
84030	775
1563479	773
2027860	768
208962	768
33043	764
1653434	763
2709390	761
2829812	756
2767188	741
53442	730
76259	707
2877527	703
33035	700
258	698
40324	676
84112	672
28026	670
2728024	667
1628156	645
1760811	617
253	608
164546	595
1547	591
470565	586
2604421	584
2068655	584
626937	574
2576406	574
1796635	571
3030016	566
1310165	564
393921	563
208224	563
624	560
2041044	560
2910158	552
105219	549
2985571	548
3046382	546
3070215	543
1004	542
1161942	537
1747	534
3046383	523
564	520
147206	516
2086585	511
316	510
1355330	510
712471	502
2583452	501
2977320	501
253239	497
2707299	495
3123317	495
82633	493
1042156	489
290053	486
250	482
240139	477
328814	472
2682456	466
438033	464
831	462
2010828	458
2592345	456
282217	455
1981031	454
259	450
712435	446
682956	443
3003261	439
1768242	436
2932253	434
2779518	428
164330	427
2878202	408
670	399
1499973	399
1002546	399
2175091	394
3133966	394
2714932	392
29375	389
1776384	387
615	386
423477	383
80867	379
1191459	374
47671	373
180282	370
217203	370
496057	368
1886670	368
2772483	360
2841528	358
2714927	357
2719912	355
2949635	348
225991	346
2316085	345
105841	345
570161	341
2980099	339
404405	338
946333	338
2321403	337
587753	332
3074898	332
40216	331
3059030	328
94624	327
158836	323
28124	321
1795355	321
2753607	321
1532	319
2004710	318
496056	317
2871165	315
3110227	315
2962065	314
2795738	313
1582259	312
62322	312
454155	310
2482728	310
185007	310
986	308
2725414	307
1308	305
3070814	305
1727164	305
2714926	305
463025	304
2966554	302
2730360	301
2735554	299
2044467	298
1307	298
51288	298
1313	296
426737	296
2341117	295
2681766	295
2944810	294
1597	293
651561	290
352475	289
36863	289
29581	289
1463165	288
3081984	287
2027405	286
1490	284
94132	284
3030017	283
1871022	282
44250	282
2490855	281
1267217	280
174	279
2496266	278
69823	275
29549	275
1775881	274
2714924	274
2766537	273
84110	272
1351	272
2682455	272
93221	268
3070660	268
2674997	268
358	267
2696063	266
1332080	266
3114296	264
398049	262
1619153	261
2704465	260
907	260
195	258
1765049	258
1229621	258
536441	257
1353891	255
2952571	254
2496028	254
2706887	254
3016006	252
889453	251
2743470	251
2675523	250
2109913	248
3051176	248
40520	248
2698684	248
1182444	246
254955	245
2590900	245
1265445	245
343874	244
1573825	244
1577075	242
648995	242
1639118	241
2764720	240
248906	240
2745947	239
3120525	238
101571	238
661488	237
44252	237
119219	236
2584940	235
2906443	235
2202721	234
1965571	233
927786	232
2662364	231
2921631	231
2502781	231
238	230
238834	229
2735870	228
459526	227
2682776	226
1940525	226
2871175	226
1176257	225
1658672	225
3039386	224
336820	224
292	223
2315862	221
2734634	221
1718	221
2714940	220
536979	220
2072590	219
151783	219
1141883	219
1324796	219
3037797	218
61624	218
2171623	217
656179	216
319501	216
2976335	216
391953	216
1491	215
2029983	215
3039116	214
2016596	213
281362	213
1379910	212
204038	212
477680	211
3036945	211
2795000	211
29466	210
881	209
2666138	209
2704140	208
1316596	208
1173583	206
2487064	205
93220	205
2714925	204
644	203
2694930	202
1379909	201
2899133	200
376175	200
2764705	200
346	200
