taxon	reads
729	93174
28037	77486
1303	47590
43675	40074
544580	26599
1313	26372
29466	23950
712116	22821
199	22302
1302	20320
9606	17639
1379	13488
2819619	11695
76857	11572
33053	10138
1305	9599
28132	9365
2663009	9251
1655	8455
2820817	8300
1660	7994
28449	7365
43768	7363
1433513	6819
2682456	6717
1318	6588
1017	6480
2789425	5713
2047	5414
652716	5223
423477	4734
2598453	4693
2993430	4604
46124	4455
1304	4121
1019	3951
29391	3938
257758	3802
2975349	3712
712633	3676
712624	3658
47671	3485
113107	3470
3077584	3415
2682455	3406
1177574	3231
726	3207
470565	3119
2972784	2816
712623	2798
727	2785
45634	2686
76859	2655
2708117	2595
490	2548
327575	2386
2759692	2383
2545799	2381
172042	2341
39777	2276
68892	2258
2490855	2218
39778	2161
157687	2072
84135	1914
706438	1903
461393	1878
3038077	1877
28116	1620
496	1585
712150	1576
28133	1531
2866570	1498
1747	1349
1902136	1333
1759399	1305
732	1302
712357	1270
739	1230
208479	1225
2576376	1202
505	1187
860	1174
1018	1154
712362	1120
3098076	1097
821	1096
2610896	1028
1328	991
554406	968
3059028	942
539	918
488	886
1656	875
1156431	870
589437	870
712435	848
851	829
712310	828
3098075	814
818	757
1659	750
155615	742
1311	729
1343	721
2899133	720
28131	641
824	599
735	596
1338	584
1316596	565
1531	557
617123	549
204	548
3077723	545
562	536
712122	535
495	533
1234680	473
46125	467
1308	463
2972775	450
114527	444
684066	437
2382163	432
1583098	426
487	421
2420310	419
109328	412
1852377	397
1307	389
2975324	376
3077590	375
28129	360
102148	352
157692	342
28135	340
3059030	329
214856	314
157688	313
853	311
1839799	310
69823	296
47678	291
823	289
28137	286
1056807	285
267212	284
1871109	281
178339	279
154046	275
1496	267
712538	263
712710	261
2162637	257
249188	248
502	238
484	231
1796652	225
3058373	217
285729	216
2093857	213
1705617	210
1314	204
1160721	203
713030	201
