taxon	reads
28116	460932
28132	409519
338188	405413
820	210286
2682456	167451
46503	101649
246787	100976
1318	95005
2682455	89979
423477	85926
821	72563
39777	72089
371601	67404
729	66933
490	63391
2650157	54430
39778	53786
29466	51199
496	46248
1304	44723
28449	37481
732	36663
387090	30272
2763022	30038
3059030	29606
46124	27552
357276	26283
823	24976
2663009	24689
817	23303
488	22663
2847299	22347
2047	21730
199	21151
1660	21084
43675	20477
1305	18344
46125	17169
1303	16996
3098075	16920
114527	16729
818	16702
712357	16595
33025	15703
1177574	15496
556259	14232
1017	13899
43768	13203
1280	12931
454154	12582
2490855	12572
84135	9956
33053	9816
544580	9756
61592	9730
674529	9584
1019	9296
1302	9262
68892	9211
1056807	9112
1382	9067
2972775	9036
487	8860
2715212	8756
3098076	8230
712623	7955
505	7551
2610896	7510
2972784	7377
39491	7360
495	7143
2899133	7132
172042	6727
2975324	6353
102148	6138
47678	5861
2759692	5815
162156	5753
28133	5572
2792859	5475
1871109	5463
2650158	5339
617123	5151
292800	5046
46506	4894
502	4891
860	4829
853	4821
712116	4435
641148	4404
291644	4315
712633	4307
1796613	4282
28111	4250
3077590	4209
589437	4150
28131	4017
3059028	3922
78331	3855
1750	3850
1655	3792
39496	3611
512298	3582
3077584	3577
166486	3542
76857	3306
484	3221
291645	3163
2755405	3147
113107	3093
2785531	2885
2545799	2856
706438	2814
1839799	2791
76859	2754
327575	2552
214851	2542
684066	2479
1852377	2376
589436	2330
1759399	2300
28124	2256
652716	2246
1550024	2219
329854	2210
376805	2194
712435	2193
9606	2171
1379	2100
712624	2032
109328	2031
2528203	1994
28113	1991
33038	1903
28037	1886
328814	1869
2789425	1841
3117552	1838
486	1791
301301	1784
1313	1769
3058373	1753
2954513	1732
290053	1711
1156431	1703
45634	1696
3077723	1618
554406	1575
387661	1560
454155	1548
1583098	1539
1308	1534
47671	1528
39485	1489
2708117	1484
2763672	1466
28129	1446
851	1441
539	1439
1338	1424
76123	1408
28112	1381
461393	1376
2685834	1372
418240	1368
33039	1359
485	1346
248315	1326
208479	1318
2610895	1269
158	1266
712710	1256
328812	1229
282402	1213
2572088	1209
28135	1207
40520	1204
1297617	1189
2841264	1157
470565	1149
2951805	1116
1018	1104
2162637	1076
3118470	1073
727	1060
157687	1055
2108523	1050
28137	1046
477666	1034
712471	1034
204	1019
3038077	1012
2954545	987
28119	984
1234680	957
28125	930
2975349	928
46228	913
726	907
649756	904
655307	904
1316596	902
328813	900
483	868
2576376	853
1328	842
39488	828
2382163	821
1217282	819
1311	799
165179	796
2929488	788
657323	772
1902136	770
216816	765
712362	760
2109687	749
155615	732
2937985	726
1343	725
2866570	710
114528	702
40542	689
739	678
88431	673
1496	666
52773	664
1261635	651
2718	642
39486	618
2763062	618
29391	608
86332	600
76860	587
29347	580
410072	579
2598453	571
2929492	557
3115151	554
837	552
137732	537
2929494	529
157688	525
1314	515
712150	512
2820817	510
1307	504
154046	495
1501392	489
2929493	482
2093824	479
203	472
33033	471
1472417	468
411483	456
2025876	449
1288121	419
1656	416
714	412
1099853	411
1965590	402
45851	390
157692	390
87883	390
2956064	380
69710	378
712538	373
1796635	373
2479767	367
713030	363
53419	356
28127	347
2709390	340
28128	339
285729	337
824	337
2929495	336
89014	332
2929489	331
2955725	330
2093857	329
116085	328
411486	315
53443	312
1336	300
1853278	299
1573823	299
2929490	296
2093856	289
712361	286
492	284
267212	280
1261634	280
2972761	279
29348	278
2766701	273
2929491	270
1912897	269
169435	267
84112	263
1322	263
2956063	261
2819619	259
1334	256
562	251
2714355	251
1522	248
53442	246
1433513	246
2993430	244
28251	244
157691	242
305719	242
2666100	241
1705617	238
2801997	235
1531	234
3003601	230
58231	225
2583584	224
28118	223
2420310	221
2866573	221
2936770	220
1243007	219
831	218
2912188	218
1532	214
2748316	209
2518605	208
2913621	205
2563662	203
