taxon	reads
9606	80337
1379	68105
487	52659
727	35728
1328	24065
562	20283
28037	16121
1522312	14034
1313	12255
43675	11846
1304	11430
28131	7423
1318	7323
851	6653
2993430	6422
732	5245
39777	5200
2682456	5121
28132	4969
1660	4733
1280	4261
1303	4149
729	4025
726	3692
423477	3524
2682455	3489
486	3384
1177574	3255
257758	3251
33033	2723
3059028	2562
1338	2385
485	2316
3098076	2309
2819619	2303
39778	2165
1433513	1696
2975324	1669
78331	1665
2937985	1606
2598453	1584
2610896	1566
1018	1556
84135	1476
3077584	1437
199	1426
29391	1324
3059030	1322
76859	1319
712633	1310
46124	1295
2663009	1234
470565	1231
157687	1222
3098075	1199
29466	1174
504	1085
28449	1085
483	886
735	858
2972784	848
712623	838
2420310	836
1382	831
2759692	738
671211	735
76860	706
113107	706
539	672
203	663
623	648
158	645
1308	634
1343	625
2899133	619
1839799	586
155615	566
1747	565
2954545	565
68892	561
2490855	545
490	539
684066	530
102148	530
114527	528
28133	527
2954513	498
76857	488
69710	481
1305	431
197575	425
484	397
28901	395
1302	389
712435	386
712310	340
1334	336
76123	332
143361	322
712116	306
137732	288
488	283
58231	274
1852377	273
712538	271
1156431	270
2972775	266
10665	258
712357	255
1311	252
1902136	243
544580	223
2047	222
1759399	221
1307	215
45634	214
495	202
652716	200
