taxon	reads
28037	2251610
1313	1609499
729	736187
1379	617572
1303	452935
2993430	321401
2598453	232656
257758	226007
2819619	225917
1433513	208974
726	191515
735	165820
28449	146390
3077584	104753
423477	102815
727	97285
2663009	82285
712633	77749
2759692	55371
1305	51443
712310	42443
1328	36676
1902136	36174
9606	34622
490	34187
2972784	30869
172042	30257
84135	28823
712623	28057
2972775	27388
47671	26228
1660	26218
137732	25001
1019	24909
1302	24850
1304	21529
1307	20601
29466	20444
45634	18580
46125	18482
2975349	17576
712435	17330
3038077	17081
2576376	16985
46124	16643
488	16549
1759399	15255
68892	14841
1318	14700
484	14673
1871109	14480
3077590	14453
29391	14342
1311	14251
487	14225
712357	14180
78535	13905
43675	12802
76860	12034
712624	11447
495	11218
28132	11086
76857	10876
1156431	9867
33033	9475
28131	9146
684066	9117
1308	8153
1334	8047
732	8045
76859	7472
2820817	7408
315405	7124
2545799	7084
2047	6737
1338	6460
327575	6299
61592	6199
1234680	6122
1314	5868
2899133	5734
1343	5733
2382163	5572
3098076	5542
1309	5467
1583098	5396
3059028	5380
860	5334
2682456	5255
2490855	5131
43768	5078
2610896	4736
28133	4710
113107	4648
851	4602
485	4504
837	4494
1017	4340
3059030	4249
1655	4210
486	4159
544580	4038
718	4016
3098075	3890
2708117	3875
199	3874
1750	3736
712150	3733
617123	3663
2866570	3493
357276	3401
2682455	3397
3077723	3289
189834	3279
72	3252
739	3223
483	3163
39778	3154
409322	3116
155615	2914
28135	2845
1018	2824
1888195	2797
28124	2708
2789425	2705
714	2655
712710	2643
820	2530
33053	2510
82348	2510
85402	2504
85404	2475
249188	2458
715	2384
1335	2318
75985	2304
1316596	2129
2718	2067
109328	2059
1785995	2054
1547448	2021
1566990	2015
2937985	1991
46506	1947
1501662	1940
1825069	1898
1345	1880
29394	1828
371601	1785
2021971	1771
738	1767
28901	1766
1329	1755
33040	1751
747	1718
1177574	1687
2781599	1675
1585976	1570
2770636	1568
111844	1562
539	1490
3058373	1474
1310	1448
102148	1432
204	1428
12402	1382
400065	1361
1340	1312
1056807	1305
1326	1295
3028083	1209
285729	1206
644007	1200
254839	1200
1814128	1191
2497989	1178
69710	1173
1917441	1171
1852377	1168
29389	1161
1349	1154
2598457	1150
2572088	1143
712122	1117
47735	1110
562	1092
2030797	1091
39777	1086
34085	1081
505	1072
730	1067
1701811	1060
1280	1048
1346	1015
28129	1012
1839799	1012
361101	1008
1656	999
2664091	978
2866573	970
86332	953
149016	930
1348	927
3020829	921
508451	918
1496	872
461393	871
254785	864
2420310	852
28116	839
51049	835
197575	833
2686210	810
1351	799
157339	794
3028082	790
158	776
750	773
1352	771
728	758
1341	752
2975324	732
817	728
248315	722
157687	720
123824	718
230709	717
655307	717
197614	692
28125	683
2040624	678
1336	676
1432056	665
716	664
824	664
2847299	660
157688	652
46503	651
712471	648
1811193	648
712116	646
52773	622
58231	611
554406	607
1032623	603
1735111	602
818	593
2173853	592
47678	573
2840371	550
28118	547
3118470	545
2666100	543
1443036	531
1705617	529
2490633	523
3028084	518
492	518
102886	516
76123	506
1747	504
165179	502
1853278	502
2709396	500
573	498
2420308	497
162156	484
731	482
720	481
203	481
1316593	473
393921	462
28137	461
1111760	458
1396	454
470565	452
109472	451
2954513	447
867595	447
253	444
1598	444
2004710	443
2713414	433
712411	432
2563671	431
2748316	431
823	428
2844383	426
2420309	423
2827233	423
1659	423
2763068	421
821	418
2487072	415
114527	411
1853276	407
157692	407
762	405
1392	403
504	402
2679995	400
1796644	398
712362	397
2841264	386
502	382
2563662	382
2955582	381
712528	381
753	380
1659192	380
1319	379
2778911	378
2093824	376
326522	368
2954545	359
36874	357
103810	356
1884263	346
536441	334
150055	332
120682	329
28128	328
2912188	327
754	320
267212	309
28127	309
2792859	304
2583851	303
2911526	302
2929799	294
505341	293
51161	286
87883	282
1643513	280
328813	277
59310	277
254	277
2767188	276
1363	275
1653831	274
1265445	272
2754694	267
2911527	266
1117645	265
1701828	265
1701814	265
1491	262
2528037	255
1179777	255
216816	251
1358	251
2133944	246
338188	243
69823	238
322095	238
1493872	224
2594269	219
2479767	218
1965590	216
538949	216
2920939	216
2917790	216
97481	213
2755405	212
2585118	211
1428	204
2820270	200
