taxon	reads
165179	10725763
821	4933368
46503	1262824
46506	934534
338188	695305
818	492268
47678	410664
454154	272891
823	270059
371601	213690
817	198681
2518605	196691
820	191091
853	180885
2929493	146640
28118	143022
357276	140375
387090	130038
328813	128688
562	107364
2650157	101910
214856	96188
28116	86200
39491	83777
411483	80776
674529	77300
39485	71239
40545	69237
2585118	61481
2763672	57947
2792859	46127
2847299	45283
387661	43727
2929491	42095
2763022	41106
2494234	40774
2823317	39010
2929489	38230
2929490	37996
626940	37175
2755405	36969
2860051	36760
301301	35875
292800	35605
2109687	35522
1472417	35284
1288121	34595
39496	34075
2093857	33043
2951805	32755
2714355	31877
33039	30577
410072	30225
538949	28187
1550024	27754
626932	27632
1965590	23804
291644	23687
162156	23344
291645	22913
512298	22099
2715212	21950
74426	21430
214851	21195
1160721	20704
2108523	20233
2714353	20022
77095	20014
3030639	19947
88431	19648
901	18466
2162637	17465
2929495	17448
2922859	17051
2585119	16641
2972761	16527
166486	16498
2714358	15588
1796613	15274
2584944	15079
2364787	14317
216816	13805
1297617	13764
28111	13533
2478954	12909
169435	12675
2610895	12188
2785531	11690
2650158	11151
1680	10675
556259	10520
3073964	10464
329854	10109
2528203	9954
2927224	9763
2929494	9686
2025876	9347
2929488	8979
33038	8871
1737424	8772
39486	8759
39488	8409
1681	7952
2929492	7949
2763056	7801
1472416	7781
328812	7352
1280	7299
28113	7084
1852381	6795
411486	6266
28119	5594
657323	5563
3117552	5284
2093856	5191
9606	5004
1686	4835
89014	4783
2922858	4748
208479	4591
623	4538
729	4523
649756	4484
1496	4407
2479767	4118
2662363	4078
322095	4031
28901	4018
2780922	3916
57975	3639
29347	3626
2807624	3514
2685834	3506
28131	3499
477666	3305
1177574	3179
154046	3114
1099853	3104
544645	3057
28132	2834
1217282	2762
282402	2707
3068329	2625
28128	2523
2774873	2440
28129	2356
1522	2195
2913614	2051
116085	2043
287	2011
1573823	1987
1773	1977
239935	1933
2606626	1892
1502	1844
2518971	1827
2530390	1802
1531	1756
2023866	1753
28135	1709
246787	1705
837	1684
3079303	1683
76123	1634
751585	1622
839	1621
45851	1591
2763062	1548
1261635	1513
2913621	1488
1261634	1450
100886	1445
2094151	1429
45254	1386
1685	1383
1243007	1307
28133	1264
847	1260
78331	1256
1871021	1250
621	1242
573	1224
2086584	1219
1982626	1214
1352	1190
154288	1175
1642646	1167
2937774	1151
303	1140
28127	1122
2691580	1084
34073	1076
1168034	1053
3079302	963
1796646	961
2913620	960
1796616	955
3028070	931
2763670	928
1912897	921
867595	900
28137	900
1642647	888
622	882
1796652	873
1916	869
28125	858
376805	854
2913616	853
1796620	850
2857061	840
2801997	839
28251	838
1355477	831
36874	829
2709410	826
2133944	816
2763669	807
712710	803
2763667	800
84030	787
2946555	786
2709390	771
1563479	768
2855434	764
1653434	764
89153	762
2829812	760
2027860	744
33043	743
2767188	736
53442	725
2877527	714
76259	707
208962	700
258	699
40324	681
28026	674
2728024	668
84112	667
1628156	642
253	620
1760811	618
208224	616
470565	611
290053	604
164546	592
33035	590
1547	588
2604421	583
2068655	581
1796635	576
3030016	573
626937	569
1310165	569
393921	559
564	552
2910158	551
2041044	548
3070215	547
3046382	547
1161942	546
1004	544
1747	530
3046383	523
105219	522
147206	517
712471	513
2086585	512
2977320	510
316	509
253239	505
1355330	502
2583452	501
3123317	497
2707299	494
82633	492
1042156	492
240139	476
328814	474
250	472
438033	470
2682456	469
2010828	459
2592345	457
831	456
282217	456
259	454
1981031	452
712435	451
682956	446
1768242	438
3003261	436
2932253	435
2779518	423
164330	418
1002546	400
670	395
2175091	394
3133966	394
1499973	393
2714932	387
1886670	386
1776384	386
29375	384
47671	379
180282	379
1191459	377
217203	373
496057	370
80867	370
615	368
423477	366
2714927	365
2841528	359
2772483	354
2719912	353
225991	350
105841	349
2949635	344
2980099	341
570161	341
404405	340
946333	339
2321403	337
3074898	334
3059030	331
40216	324
94624	324
28124	323
1795355	321
2753607	321
2004710	320
2735554	320
496056	319
2044467	317
2795738	314
2962065	314
1582259	312
185007	311
62322	310
3110227	310
463025	307
2725414	307
3070814	306
1727164	306
1463165	305
986	305
2482728	303
454155	302
2714926	300
1532	298
426737	296
2730360	296
2341117	295
2681766	295
2944810	294
51288	294
2871165	293
352475	292
1597	292
651561	291
1351	290
587753	289
624	288
2966554	288
1307	287
1267217	286
3030017	283
2027405	283
94132	282
1490	282
2490855	281
3081984	281
2316085	280
36863	280
44250	280
2878202	279
2871175	279
174	279
1308	278
1871022	277
2496266	276
1775881	276
2682455	275
29549	275
358	274
2714924	273
84110	273
2766537	272
69823	272
101571	271
195	270
2674997	269
546	268
2696063	268
93221	268
1313	267
3070660	266
1332080	265
1229621	265
1577075	263
398049	261
1619153	261
2704465	260
907	260
158836	259
3114296	259
2706887	256
2496028	256
536441	256
1353891	256
2952571	254
1765049	254
3016006	253
2675523	252
889453	252
2831966	251
2109913	250
2743470	250
3051176	249
2698684	248
2590900	247
1182444	246
1573825	244
343874	244
1265445	244
29581	243
1639118	243
248906	242
2764720	240
119219	240
254955	239
44252	239
2745947	238
1491	238
40520	237
661488	236
648995	236
2906443	235
2584940	234
3120525	233
2502781	231
927786	231
1965571	231
2662364	230
459526	229
238834	229
1176257	228
2202721	228
2735870	227
238	227
2682776	226
336820	226
1940525	225
1718	225
2315862	223
1658672	223
2072590	221
3039386	221
2734634	221
151783	221
656179	221
1324796	220
3037797	220
1141883	220
2725997	220
204038	219
536979	219
61624	217
3039116	216
2976335	216
2714940	216
391953	216
2029983	215
2171623	214
1379910	213
29466	213
281362	212
2487064	212
2795000	211
477680	211
644	211
2016596	210
3036945	210
319501	208
881	208
2666138	207
2704140	205
2714925	204
1173583	204
39778	204
28025	203
93220	203
2694930	202
376175	202
1379909	202
1316596	200
2764705	200
246	199
2899133	199
2782609	196
2921631	195
2956830	194
54736	192
1149952	191
1535245	191
2015348	190
85698	187
57706	185
285	171
28450	169
305719	147
346	146
418240	139
76761	135
95485	134
315405	131
2829835	126
2509664	115
2833772	113
53408	105
551996	102
2846260	85
2836367	77
1639133	71
2509662	69
1501392	67
158787	66
545	66
83655	65
2918454	65
1881022	63
35703	61
158822	60
3115151	59
2836366	56
244366	55
550	53
61645	53
985002	51
571	50
1694	50
67824	48
68174	48
1689	47
2891570	47
2742624	44
34085	44
2899077	44
539813	43
52227	43
632	42
548	41
299767	41
67825	40
397865	40
2562449	39
1654388	39
3115152	38
208223	38
78448	38
1322	36
3031919	35
2572084	35
235	35
2509666	34
94869	33
61648	33
2992805	32
33905	31
1134687	31
61646	30
1661	30
413503	29
1334193	29
2742632	29
1603886	29
1683	29
54291	29
28141	28
470	28
456327	28
61647	28
2986524	28
1812935	28
2675726	28
2971264	27
357441	26
35760	26
379893	26
1748967	26
77635	25
2681265	25
1158459	25
2935450	25
1573676	24
2850494	24
1765219	24
580	23
566	23
158877	23
168384	23
2742676	22
1005665	22
1902	22
565	22
1684	21
589437	21
2654843	21
82977	21
2144175	21
75692	21
1259973	21
69218	21
881260	21
575	20
1505757	20
82989	20
67827	20
2109593	19
2725560	19
1385591	19
1563222	19
2683822	19
2083284	19
2815358	19
2153354	19
2954552	19
2681309	19
1225789	18
283686	18
2047724	18
2742677	18
563	18
46228	18
2579935	18
1282	18
1851514	18
59843	17
3110110	17
29523	17
3139408	17
