taxon	reads
28132	870439
2682456	480410
39777	466475
1177574	405890
1660	397396
39778	328409
2663009	327247
199	273900
2682455	265954
1304	260299
423477	194495
1318	189946
712623	180465
3059028	172226
29466	118493
860	115541
43675	113726
28133	102726
2899133	102556
470565	101175
102148	88313
114527	72177
46124	69251
3098075	58555
28131	56648
9606	50185
2972784	48944
712633	45195
3098076	44025
2610896	43350
1303	42790
1382	42447
28037	40969
729	40096
3077584	39882
68892	32229
1852377	31371
3059030	28748
84135	27397
76857	26396
76859	24139
2759692	23985
28135	22834
1313	20799
2490855	18750
1839799	16306
28129	14419
52773	14207
652716	13658
589437	12691
851	12617
684066	12238
2954513	11658
1379	10541
2954545	10346
2841264	10039
3118470	9762
712538	9674
617123	9506
28125	9496
113107	9403
1308	8976
157687	7937
2975324	7747
1583098	7698
713030	7208
28137	7095
712357	7057
248315	6572
1302	5774
2047	5746
1156431	5367
2598453	5352
1759399	5294
2819619	5253
589436	4996
28128	4513
155615	4425
1433513	4337
39491	3962
76123	3932
114528	3902
2382163	3403
2993430	3217
86332	3133
1328	3118
544580	3103
1343	3075
1311	2999
33033	2950
1234680	2934
1747	2890
712624	2854
1305	2854
181487	2805
28124	2664
2144175	2547
29391	2524
59561	2462
1902136	2429
282402	2408
131111	2385
178339	2366
1019	2278
257758	2240
285729	2201
837	2082
28127	2053
2975349	1955
3038077	1880
1307	1877
2420310	1841
2576376	1807
69823	1797
137732	1747
1338	1726
1336	1699
712471	1673
45634	1568
1675036	1522
76860	1518
1334	1402
907	1348
712435	1325
2801997	1306
165179	1303
2133944	1282
1232428	1271
2093824	1268
726	1260
28112	1214
712710	1160
43768	1155
2709403	1133
1017	1108
2794089	1080
162156	1050
712310	1040
204	1022
1884263	973
2789425	941
2763540	938
445930	934
52227	904
712528	853
853	845
158	839
554406	834
817	832
77095	828
727	822
712361	809
2708117	807
1314	799
454154	768
143361	761
172042	721
1018	716
644007	710
1522	699
43765	683
3022127	636
46125	631
131110	627
712116	627
109328	624
859	623
1496	623
712362	611
3003601	607
1718	604
2754044	599
28113	590
1785996	588
69710	586
2572088	578
39950	576
1661	550
824	540
2583584	537
2763068	537
33039	529
34105	518
2913621	503
2722820	479
2545799	476
2518605	472
1309	471
1352	470
1624	469
831	466
78535	449
1501662	444
1335	431
322095	430
3029272	430
327575	426
2691580	422
712122	414
2913614	411
657323	406
1655	406
66228	404
33040	401
2702	401
2806552	398
361101	393
3068634	391
28188	390
562	388
818	387
40542	386
839	386
2954734	386
2913616	384
2057800	384
166486	379
1531	378
2744574	377
357276	373
411486	370
1785995	369
1261635	367
157688	366
1396	364
52774	360
157691	360
699041	358
454155	355
29347	351
135079	349
1351	348
410072	347
328813	346
675090	343
82348	339
2937774	338
2079536	338
40520	334
43305	333
487173	329
706438	327
1916	323
84030	320
656366	319
28264	314
103621	313
2913620	307
2081702	307
820	306
2763672	304
185007	303
3058373	302
29370	298
884684	297
39488	294
88431	294
823	292
154046	290
1667168	287
2598457	285
1329	285
649756	284
29389	282
39486	278
376805	277
28116	275
28111	275
301301	274
2563662	274
1502	273
1392	272
147802	271
53419	268
29375	265
208479	264
33035	263
203	263
46507	262
1340	262
1912897	260
505	258
1280	257
1573823	255
1260	252
2094151	251
999183	251
28119	251
52771	250
33905	249
2718	248
3028070	248
168384	247
111015	247
2518971	246
573	245
2763062	243
39485	242
1888195	237
3036302	235
821	235
1310	235
1261634	231
305719	228
58231	224
45851	222
47671	222
33007	219
44008	219
78331	218
2733571	218
200	218
1828	217
1965590	217
712411	217
856	215
3077723	214
9	214
2758572	213
2811781	212
732	212
3095337	212
2591108	211
1912795	211
84112	211
2820817	210
1659	210
133926	208
1243007	207
595468	206
1750	201
3028082	200
66219	200
