taxon	reads
487	209144
727	103621
9606	48817
729	17628
28132	9419
470565	7674
1318	7027
1660	5896
485	5623
28037	5223
3059028	5020
43675	4535
2682456	4483
423477	4214
39777	3582
2899133	3560
1313	3524
712623	3487
1304	3276
46124	3215
1177574	3166
486	3051
2663009	2985
1303	2745
28449	2614
199	2560
3098075	2534
2682455	2352
84135	2342
1379	2147
2972784	1991
2610896	1728
2759692	1710
712633	1697
38284	1659
3077584	1555
3098076	1516
39778	1509
114527	1465
28137	1453
157687	1451
28133	1443
28131	1395
726	1359
655307	1322
1311	1245
3059030	1210
29466	1197
712362	1184
68892	1111
3118470	1099
2490855	919
483	896
2937985	891
2047	810
1759399	809
102148	784
76859	761
495	642
172042	624
267212	624
1747	620
2819619	607
490	603
1305	589
488	579
2993430	568
1871109	551
712357	536
712361	508
2841264	498
28135	494
2972775	477
2598453	459
33033	457
684066	447
1433513	439
3077590	431
248315	421
45634	401
257758	398
1852377	394
851	387
1773	379
1156431	366
617123	365
43768	362
76857	358
860	348
28129	343
712310	339
544580	329
484	327
505	321
52773	309
1302	298
735	290
562	279
2820817	264
539	258
2975324	253
78331	249
1547448	226
712435	219
712710	201
