taxon	reads
338188	446526
28132	410720
28116	378067
820	237597
2682456	161317
46503	102287
1318	91244
2682455	88442
423477	87817
371601	85309
821	77693
39777	72423
490	67412
729	66828
2650157	61897
29466	54888
39778	53528
1304	47202
28449	37573
2763022	37020
732	36354
817	36114
387090	29885
3059030	29606
2847299	29536
46124	27559
357276	26315
823	23409
488	22770
2047	21651
2663009	21563
1660	21065
199	21060
43675	20483
2972761	20327
818	19501
556259	18651
1305	17510
3098075	17283
46125	16995
114527	16697
712357	16133
1177574	15763
33025	15678
1303	15625
1017	13856
43768	13187
1280	13029
2490855	12508
454154	12422
674529	11841
487	10799
2715212	10712
84135	9797
61592	9725
2972775	9570
544580	9511
1302	9354
1019	9243
68892	9136
2650158	8628
3098076	8322
712623	7998
1056807	7726
2610896	7582
505	7528
2972784	7470
39491	7406
495	7368
2792859	7245
2899133	7202
47678	7067
172042	6705
1796613	6662
162156	6639
102148	6008
2759692	5858
1871109	5826
2975324	5759
28133	5269
853	5188
46506	5163
617123	5148
291644	5000
246787	4946
292800	4897
502	4836
712116	4490
3077590	4467
712633	4383
2785531	4267
28111	4226
2755405	4155
28131	4030
860	4021
3059028	3903
1750	3851
1655	3825
76857	3788
3077584	3646
291645	3618
39496	3582
484	3572
512298	3554
76859	3546
166486	3504
851	3302
3117552	3169
329854	3122
2528203	3061
2545799	2870
684066	2851
1313	2790
1308	2575
214851	2534
327575	2506
1773	2448
1839799	2411
1759399	2381
1852377	2373
9606	2349
28113	2300
28124	2254
387661	2229
485	2212
1550024	2203
712435	2195
28037	2112
1379	2083
109328	2029
486	2019
33038	1859
45634	1856
2789425	1816
301301	1776
712624	1766
248315	1753
2162637	1750
1156431	1720
3058373	1649
2954513	1622
1338	1554
1583098	1541
47671	1537
78331	1508
28129	1503
39485	1501
2708117	1486
3077723	1465
554406	1464
2763672	1447
539	1442
2685834	1403
461393	1373
33039	1358
76123	1352
208479	1307
712710	1263
2610895	1263
328812	1242
2572088	1221
727	1206
28135	1199
282402	1195
1297617	1188
470565	1187
1018	1177
28119	1170
158	1167
1314	1163
477666	1155
2951805	1142
28137	1131
2841264	1086
3118470	1076
157687	1068
2108523	1050
712471	1043
1234680	1025
204	1021
1328	986
483	963
28125	957
726	952
655307	950
3038077	921
2954545	919
1316596	906
1343	890
328813	890
649756	875
2576376	852
2025876	848
1217282	848
155615	843
39488	842
2109687	841
2975349	839
165179	817
1311	810
2382163	808
2937985	797
657323	794
2709390	792
1902136	790
216816	765
33053	757
712362	730
2866570	728
739	713
1307	712
1496	710
114528	697
78535	676
52773	667
1261635	653
2718	638
88431	628
76860	622
2598453	621
2763062	618
39486	614
29391	611
86332	592
1334	591
837	578
29347	575
2929488	566
410072	563
3115151	549
2929492	545
157688	538
137732	529
2929494	527
712150	505
2820817	505
154046	491
203	474
1472417	468
1288121	468
33033	466
2093824	465
2929493	458
1656	447
714	441
69710	439
1965590	438
285729	427
1099853	425
2420310	408
45851	391
157692	386
411483	380
2479767	378
87883	377
712538	373
28128	366
1796635	363
1853278	362
28127	360
713030	359
492	339
824	335
2929495	334
2093857	331
89014	330
116085	323
267212	315
290053	310
411486	304
1573823	300
2929489	297
2093856	293
2666100	287
113107	284
1261634	282
562	280
2912188	277
2766701	274
2929490	274
2929491	270
28251	268
1912897	267
169435	266
2819619	264
712361	263
84112	263
28118	258
1433513	254
53442	244
2801997	244
2714355	243
1522	243
2583584	243
157691	241
1705617	234
1531	232
2993430	231
3003601	228
2866573	221
1243007	220
1532	215
58231	215
2518605	214
2913621	211
831	206
