taxon	reads
199	206526
28132	205442
729	162375
2663009	137137
28449	123397
1177574	107824
9606	91734
470565	83046
39777	79073
157687	71969
28137	51596
28133	41673
28131	33263
423477	32962
2972775	32747
712538	28803
1318	23137
1304	22545
860	22200
712633	21931
2682455	20661
2682456	20425
490	20292
713030	20052
1019	18648
1017	17824
1871109	17654
2899133	17436
43675	15794
76857	15362
2545799	13723
327575	13669
3077584	13571
712435	13145
1280	13066
488	12569
3077590	11719
487	11628
84135	11128
76859	11009
2490855	10994
712362	10923
484	10361
249188	10321
39778	10099
29466	9777
851	9094
69823	8423
712357	7615
712623	7390
1660	7369
102148	7102
2972784	6960
2759692	5688
712361	5236
1313	5157
28037	5119
46124	5064
1303	4852
3059030	4507
28129	4470
68892	4197
1018	4080
617123	3902
28128	3855
28135	3833
485	3606
1583098	3491
157691	3385
3118470	3362
3059028	3192
2708117	3084
727	2859
204	2797
28125	2790
486	2769
726	2736
837	2722
33053	2657
109328	2333
155615	2144
495	2050
1884263	2016
1852377	1995
1379	1977
712528	1966
2841264	1959
2610896	1775
3098076	1720
3098075	1702
483	1687
1316596	1685
712368	1670
28127	1561
1785996	1539
712471	1528
735	1524
2975324	1524
1308	1469
1311	1453
712710	1436
285729	1414
1328	1402
2937985	1313
114527	1313
2598453	1287
248315	1278
282402	1263
712310	1206
76123	1128
2754044	1012
135079	965
157688	926
1759399	924
2807625	922
2954513	891
165179	811
684066	809
69710	779
732	776
39491	766
1156431	759
78535	759
554406	736
3058373	707
2420310	698
1839799	696
1314	691
1302	630
2819619	628
1305	622
2993430	621
1433513	583
257758	579
76860	575
817	541
2576376	529
2954545	520
1705617	498
162156	490
33033	477
203	477
818	475
2801997	475
322095	472
29391	463
1343	463
859	457
1234680	456
718	443
1902136	432
28124	431
58231	430
2382163	425
2820817	396
2583584	388
1853278	357
2709396	354
137732	353
1853276	348
36874	337
172042	337
1307	336
77095	336
2133944	329
2666100	326
867595	314
1316593	310
492	309
28113	306
2497989	299
1643513	294
1056807	287
52773	286
45634	284
189834	284
715	281
2563662	279
1643512	278
120682	277
2093824	273
2836367	272
72	271
1244531	266
326522	264
2691580	264
739	259
1032243	255
3095337	252
2913614	247
2913621	243
747	242
2975349	240
197	234
2763068	220
2518605	218
3003601	216
2913616	216
43768	215
2748316	214
3038077	211
1539298	210
2572088	210
539	208
40542	208
712624	203
46506	203
839	202
