taxon	reads
729	5597395
43675	397166
28037	360474
29466	305338
1660	183154
1313	179116
727	171583
1379	144524
1303	126413
726	122978
2972784	103987
1318	95249
712623	94139
2759692	91153
2663009	85263
1759399	77594
1156431	60547
490	52217
2819619	47476
732	44704
712435	42662
46124	42602
712633	42246
3077584	36417
423477	34196
2382163	33459
2598453	32947
1433513	32782
78535	32600
68892	29221
2993430	28895
712150	28868
1234680	27992
2610896	26189
9606	24130
3098076	21989
28449	21754
2490855	19768
3098075	19455
249188	17834
257758	17219
739	16867
28132	16856
47671	15709
1852377	15586
3059030	14491
684066	14074
2820817	14050
747	13945
2576376	13517
712310	12364
3038077	12354
3059028	10916
1304	10839
1902136	10780
718	10136
495	9992
1302	9823
2975349	9245
1305	8766
544580	8206
488	7837
714	7429
84135	7273
1796644	6745
1307	6152
76859	5997
76860	5967
712624	5875
76857	5509
2972775	5463
2866570	5187
1017	5095
45634	5042
172042	4990
1328	4765
39778	4731
1311	4586
851	4444
837	4396
1871109	4247
28901	4212
860	4205
487	4047
617123	3817
2682456	3814
2490633	3567
1308	3423
113107	3338
712116	3312
735	3222
562	3103
712357	2934
46125	2838
712710	2643
2844383	2588
2047	2540
484	2405
1177574	2394
2682455	2366
3077590	2345
539	2260
1334	2202
1056807	2176
315405	2100
1314	2089
1338	2045
2789425	2028
1583098	1913
29391	1856
715	1831
1655	1781
2545799	1747
52773	1600
39777	1529
28133	1426
485	1426
327575	1417
197575	1404
102148	1400
28129	1355
46503	1230
28124	1225
2975324	1170
1343	1168
1019	1140
75985	1132
483	1101
3077723	1093
137732	1050
28135	1044
155615	997
730	982
28131	959
738	954
1501662	947
248315	892
1656	887
12402	867
486	864
750	826
36874	819
33033	813
728	808
199	808
28188	806
328813	794
573	783
82348	775
2937985	772
393921	772
254839	768
1747	733
322095	731
2763068	724
753	707
2718	690
1335	679
165179	675
818	662
2781599	656
28137	638
1288	636
716	626
33053	608
85402	603
285729	592
505	580
1310	536
1309	532
111844	530
2133944	527
470565	509
1888195	505
47678	503
2021971	494
505341	488
867595	487
400065	486
2778911	484
1965590	483
632	465
820	460
1585976	443
1018	439
72	436
33040	433
28125	420
34085	418
2420309	408
454154	404
712471	398
204	398
361101	393
221402	386
3068634	384
1329	384
550	374
538949	374
3028082	369
2954513	368
2420310	362
823	355
1351	355
1750	351
817	347
1839799	346
339	344
712361	343
109472	343
2664091	333
1814128	332
230709	328
2954545	326
2094151	325
1316596	324
214856	318
76123	313
149016	309
2043170	305
762	303
2770636	303
29389	301
162156	294
47735	291
2173853	291
2030797	291
2708117	288
2913616	287
28119	286
3028083	286
3020829	285
470	282
61592	279
1243007	277
2530390	275
2792859	272
3028084	271
387090	261
2518971	258
2585118	255
43768	255
131111	252
103810	250
821	249
371601	248
2686210	247
1448274	245
1735111	245
2420308	242
28127	236
2913614	235
2497989	235
674529	234
157687	233
2487072	233
1358	222
536441	221
502	221
357276	219
3003351	218
282402	215
2528037	211
2937774	210
28113	209
2794089	209
1642646	207
1336	207
839	204
2691580	203
2364787	202
