taxon	reads
820	1779086
47678	1232188
821	773499
239935	489826
2972761	300498
165179	258452
818	224607
371601	214373
454154	178975
28116	173347
46503	157420
562	155664
853	153310
823	132149
2792859	101921
33025	98044
2585118	94174
2093857	94032
2714355	90373
301301	86115
2860051	85146
1981510	82769
512298	79544
2714353	73213
1680	71890
214851	67688
246787	67326
2528203	65557
649756	65259
1550024	61678
2785531	61457
817	56097
2109687	51191
1737424	49831
2763672	47965
39488	44835
2755405	43897
1297617	42110
3117552	39278
39491	39275
292800	35611
74426	35452
44742	34364
88431	34013
657323	33519
1160721	29458
169435	28942
2847299	27742
328813	27264
33039	26509
357276	25721
166486	24700
2479767	23097
674529	22915
28118	22047
216816	22001
329854	21672
410072	21335
411483	20780
1288121	19613
2763056	19407
2929495	19365
2162637	17970
2929493	17888
1496	17609
328812	17455
2715212	16219
28026	16083
411486	15841
2929494	15625
291644	14802
2714358	14718
2929491	14232
214856	14218
2929492	13707
2929489	13634
2108523	12934
39485	12778
208479	11766
39486	10769
2518605	10272
33038	10047
2763670	9888
556259	9446
89014	9444
2929488	9196
1472416	9112
29347	8242
2685834	7386
2763022	7260
84112	7006
2610895	6984
154046	6946
46506	6831
1796613	6713
2929490	6636
538949	6570
2650158	6406
387661	6355
623	6147
1965590	6066
291645	6049
3030639	6015
1681	5930
28111	5923
39496	5634
2707299	5356
116085	5292
626932	4947
28901	4562
1502	4478
1217282	4437
1522	4403
1982626	4346
53442	4282
9606	4192
2985571	4139
338188	4081
387090	3909
2922858	3722
2650157	3699
162156	3466
3079303	3337
197	3244
2086584	3175
1161942	3051
2025876	2988
2763669	2968
1352	2946
28113	2879
2763667	2828
45851	2768
2086585	2628
3028070	2519
3079302	2495
1686	2427
1307	2364
1531	2353
544645	2340
1796616	2315
1796620	2219
1308	2167
28119	2166
3046383	2107
3030016	2092
2364787	2079
2763062	2064
2585119	2061
1547	2029
1042156	1997
2780922	1972
3046382	1879
626937	1875
2860337	1846
1871021	1844
2831966	1831
33043	1825
253239	1788
1155388	1760
1261635	1686
290053	1645
1261634	1624
2041044	1569
751585	1563
487173	1487
2878202	1475
100886	1437
3030017	1434
2841528	1427
1472417	1412
208962	1389
621	1318
1653434	1268
573	1250
1177574	1238
1912897	1220
1491	1207
622	1174
1685	1141
89153	1140
2662363	1128
2507160	1124
3040764	1118
2068655	1102
1515	1017
2766537	1004
831	925
28025	924
2877527	918
2564099	888
2582419	885
2709410	863
2576756	859
3110227	841
33035	816
2666138	804
1736	798
1509	777
564	773
28131	771
2966552	766
2020965	763
1529	759
3059030	750
927786	734
1280	730
158	723
3123317	720
2762559	713
1335613	700
477666	698
2779518	686
303	670
2144175	664
1871022	661
1520	646
1796635	633
1907662	621
1623	599
1805478	577
1532	577
1499973	574
84030	560
1197717	551
1738647	548
624	545
2518971	545
2093856	539
604330	534
147206	520
3070215	517
626940	515
3045146	511
1965571	510
180282	510
195	509
1776384	506
837	498
1501	492
9	491
105841	489
438033	488
1099853	486
1689	480
28132	471
2951805	466
34073	463
1392	463
29375	461
2709390	455
2003188	453
1492	453
1561	453
84032	450
1318	449
3036945	447
69823	446
1002546	444
40520	436
185007	434
97138	431
1351	428
638849	428
3114296	428
1304	423
39950	407
1871019	406
3050072	404
3070656	403
2994078	400
1355477	397
261299	395
36845	393
615	393
565560	392
1115758	389
1396	385
1852373	384
1505	382
2583452	380
3070814	380
2044467	379
2779519	374
238834	374
1871031	372
901	371
651822	370
2927224	369
13690	362
546	362
2507162	361
1229621	361
1929477	361
33033	360
287	357
418240	355
1981031	351
3039116	348
76860	343
1727145	339
2696063	337
1761012	335
3081750	332
2490855	329
3115152	325
712710	324
1796652	322
2934315	322
185008	318
1683	315
352475	315
587753	309
3029274	307
61624	304
1653831	302
2690837	300
384	299
106590	298
2682776	297
3023090	296
712157	294
29341	294
36745	293
371036	287
158836	287
1216932	286
712528	285
3070996	285
876	285
40324	282
886478	280
2530390	279
907	277
1513	276
1744	276
28125	272
644	272
2613334	270
1573823	269
617123	268
84110	266
1660	265
316	265
2930219	265
3068894	264
980427	264
165	261
1076	260
1260	260
502558	259
1406	258
641107	257
1534	256
56	255
46867	255
36835	255
3070997	253
2944914	252
89152	252
1679721	252
1490	251
158847	249
2488810	249
2785025	249
164546	249
1884263	248
1510	248
2855394	247
1275	240
1603886	238
2894156	237
44008	234
2698458	234
57706	234
1542	233
2831968	232
1185412	232
1619153	231
1589	230
182773	227
1658665	227
236753	226
28129	226
1460447	225
433286	221
169679	220
94869	218
394958	217
1359	216
1488	216
34	215
2921460	214
704125	213
1504	213
85698	212
554949	212
51515	211
1870985	211
879970	210
1494	210
3029272	208
29552	207
1695218	206
2483110	206
36839	206
2726954	205
1393	205
654	205
712411	204
1871025	203
2509458	203
2697030	202
79604	201
102148	201
324057	200
114527	200
