taxon	reads
821	2050592
820	878299
818	673813
328813	646485
817	475490
387661	374625
823	312854
338188	255380
214856	237510
853	224335
28118	179030
371601	158340
3073964	148463
291645	140342
28116	112219
357276	104249
39485	97496
39491	74424
33039	72896
46506	66416
40545	64841
2927224	53014
411483	48886
2929488	44443
1288121	41877
2650157	41090
301301	38869
1160721	37973
2929494	36988
2714355	31871
169435	31795
411486	31229
88431	30387
410072	29853
2093857	29466
2847299	28414
2929492	27656
292800	27322
2860051	26760
2929491	25487
2785531	25215
674529	24703
46503	24547
1099853	23113
1550024	22582
47678	22017
2929493	21260
2109687	20978
2714353	20394
165179	20029
1472416	19819
2878202	19259
2585118	18754
2831966	18355
2709390	17102
649756	16824
33038	16799
538949	16749
2792859	16705
2929490	15837
2929495	15722
166486	15718
1297617	15581
2162637	15500
2929489	15252
2946555	14552
3030639	14416
214851	14152
1496	13459
1522	13410
74426	11854
2086584	11180
2763056	10677
512298	10618
2763022	10595
239935	10437
2528203	10061
291644	9491
1737424	9338
2972761	8745
3117552	8700
2108523	7925
876	7660
556259	7589
1796613	7553
2650158	7433
2714358	7263
2763672	6653
2946593	6517
3068329	6278
39488	6075
2715212	5886
2025876	5845
39496	5598
208479	5119
2707299	4780
28111	4647
2610895	4513
29347	4442
2564099	4390
657323	4118
89014	4093
1520	4082
39486	3948
28901	3909
1982626	3839
2755405	3774
9606	3644
2479767	3631
328812	3619
1352	2896
116085	2836
2585119	2537
154046	2452
626937	2330
1965590	2222
2583452	2213
387090	2206
162156	2072
1776384	2061
2364787	1944
2685834	1920
1981510	1919
2763667	1852
53442	1803
45851	1760
1307	1703
562	1635
329854	1633
33043	1579
28113	1572
3079303	1567
1531	1547
1871021	1541
2780922	1533
1161942	1533
454154	1531
3079302	1519
84112	1460
1177574	1416
2779518	1309
2086585	1289
2763669	1241
1796635	1192
2951805	1188
1547	1163
2068655	1142
33035	1117
751585	1093
3028070	1090
3030016	1071
1796620	1059
216816	1049
2763670	1038
28119	1037
253239	1020
2807624	1000
544645	970
1502	962
2709410	949
246787	927
1155388	923
84030	907
1359	907
28026	905
831	902
3046383	852
2173	850
3030017	832
3046382	814
2093856	798
2666138	777
290053	768
28037	743
1491	728
1217282	689
2763062	685
2841528	669
2944914	663
282402	661
89153	652
2518605	650
1261635	627
1423	623
1404	619
1313	616
287	613
1529	601
1912897	595
1796616	592
1590	585
837	580
638849	577
2202000	574
2766537	571
2576756	570
197	561
1532	561
2994078	552
2041044	548
1561	544
2507162	527
2966552	512
1653434	499
195	497
626932	496
1280	482
3036945	475
3045146	470
1965571	470
1261634	469
1736	463
573	462
3115152	461
1515	460
1738647	449
3070656	449
2877527	449
376805	444
1042156	444
2745894	439
1472417	428
3115151	428
1308	423
28131	421
2518971	401
69710	395
2662363	389
328814	376
185007	371
9	370
3110227	368
3114296	365
1852373	359
69823	354
303	352
1392	349
2144175	348
3059030	342
36845	339
1390	339
1622	337
105841	332
3052090	330
84110	320
2899121	319
615	318
100886	317
729	301
1335613	296
2823317	294
1639	293
59893	292
626940	292
3070681	291
371036	290
1513	288
158	288
438033	282
3123317	281
1197717	280
2954593	279
1871031	278
185008	277
28132	274
97138	272
238834	270
2003188	270
1534	268
1216932	267
2490855	265
712411	264
1805478	263
29375	259
704125	259
1702221	259
2725268	256
487173	254
1589	252
502558	251
28133	251
1463165	248
604330	247
927786	247
1689	246
1727145	241
450367	241
1396	240
617123	239
158847	237
1351	235
2934315	230
28129	227
29552	226
2478954	223
43765	222
3111540	219
2017486	218
1510	218
1002546	216
1886	216
51515	215
1716543	214
2151	211
2995171	210
1358	207
1871022	206
433296	205
1229621	204
1623	203
3070215	203
2419841	201
102148	201
2785025	201
2507160	200
103816	199
470	182
197614	178
477666	176
1303	176
40520	171
158836	170
2921435	139
418240	120
293387	108
1311	104
1428	100
3040764	98
623	84
1679444	82
1940789	80
28251	67
357441	66
2572082	60
454155	59
1179672	57
996	54
2606626	53
2843984	51
2094151	47
2204208	47
1501392	46
2972763	43
3035514	42
492670	40
1270	39
2420309	38
397865	37
29523	35
28127	33
2994319	31
2183896	29
1322	28
2968490	26
2530390	24
54736	24
46228	23
28128	22
712710	20
1796646	19
76123	18
1470347	17
28125	17
2921565	17
1406	17
34085	17
683124	16
564	16
446660	16
28135	15
29533	14
2894203	14
1509	14
1661	14
57706	13
1702238	13
1405	13
1452	12
168384	12
2816357	12
333367	12
2843974	12
3044568	11
1598	11
76832	10
208962	10
2026186	10
2937774	10
550	9
36874	9
1499973	9
2833628	9
2870563	9
28258	9
985002	9
3031408	8
1243007	8
2613334	8
2681265	8
1281486	8
1363	8
2060307	8
33945	8
2739062	7
2921604	7
53345	7
2054641	7
3050072	7
2420300	7
1871076	7
2987521	7
61645	7
2044467	7
1476754	7
1685	7
992289	6
48296	6
2420313	6
68043	6
2921528	6
2692235	6
1408	6
561879	6
1306519	6
3003256	6
28112	6
77095	6
2734146	5
53443	5
2816910	5
208224	5
671077	5
1920	5
2954681	5
712471	5
2913614	5
2772483	5
1117645	5
82348	5
37734	5
1460447	5
2836366	5
512402	5
393921	5
35703	5
53451	5
2993430	5
622	5
299767	5
2954626	5
2913621	5
2740515	5
2478552	5
867595	5
1328	5
2732161	5
587	5
1546107	5
839	4
2691580	4
2571	4
2794344	4
884684	4
2900738	4
1326	4
2921694	4
58346	4
285557	4
2929798	4
2816912	4
206662	4
1492737	4
1893	4
483913	4
2315862	4
2748319	4
42239	4
2829812	4
158822	4
1264	4
624	4
1639133	4
566027	4
322095	4
260554	4
2909285	4
1530123	4
3020829	4
160453	4
1354	4
2080759	4
867076	4
2983267	4
308354	4
66219	4
28137	4
52227	4
470565	4
2913620	3
2483110	3
2173034	3
2823904	3
2954661	3
253	3
33028	3
336810	3
1734049	3
1654388	3
244366	3
412384	3
2487276	3
67824	3
2991700	3
548	3
589437	3
1855336	3
2911367	3
1265399	3
2975744	3
652716	3
188770	3
1890302	3
64104	3
1642646	3
570161	3
114687	3
45254	3
33959	3
1773	3
2754725	3
1348	3
3097547	3
1314	3
36841	3
261299	3
236753	3
2133944	3
1501	3
3068894	3
36745	3
2971798	3
1686	3
2879149	3
2903723	3
3070999	3
2490858	2
201	2
2976834	2
488546	2
1813019	2
193	2
45972	2
1282	2
3122489	2
43305	2
641107	2
2992805	2
29382	2
29378	2
266	2
1182263	2
2202825	2
319501	2
2796470	2
1642	2
1653831	2
2823905	2
28446	2
420336	2
36835	2
1490	2
1324352	2
2576904	2
241425	2
1613	2
72361	2
2026194	2
2590900	2
1829	2
2962047	2
131111	2
1624	2
911092	2
400065	2
257758	2
2487118	2
29348	2
2230878	2
60520	2
53346	2
1353	2
169679	2
2682810	2
1424294	2
164546	2
1814128	2
1336	2
29370	2
143361	2
1971	2
2740462	2
2764720	2
1573823	2
1658616	2
3074898	2
2714926	2
2714927	2
2653853	2
2420306	2
433286	2
61647	2
2891570	2
2067958	2
83655	2
100716	2
580165	2
1249	2
254955	2
2282170	2
96241	2
227866	2
2821409	2
2903881	2
147206	2
2507161	2
1563479	2
2954672	2
2921364	2
33900	2
249567	2
47759	2
2562449	2
1340	2
1335	2
1501662	2
1907662	2
2715209	2
2928154	2
3052091	2
33871	2
1871019	2
78448	2
1565	2
356322	2
55197	2
3031919	2
584609	2
1760811	2
589436	2
1670455	2
191026	2
102134	2
1807141	2
451	2
2303750	2
316	2
2787628	2
29510	2
471	2
223919	2
2488810	2
2847778	2
46867	2
3029084	1
76857	1
155615	1
2663009	1
2066483	1
2735562	1
180	1
