taxon	reads
487	207925
727	103096
9606	48635
729	17520
28132	9014
470565	7746
1318	7108
1660	5853
485	5526
28037	5197
3059028	4987
43675	4515
2682456	4484
1313	4453
423477	4205
39777	3587
2899133	3551
712623	3443
1304	3275
1177574	3248
46124	3214
486	2992
2663009	2982
1303	2563
199	2560
28449	2533
3098075	2510
84135	2334
2682455	2313
1379	2133
2972784	2026
2610896	1696
712633	1677
2759692	1668
38284	1663
3077584	1528
28133	1497
39778	1482
28137	1474
3098076	1470
114527	1449
28131	1433
157687	1427
726	1391
655307	1310
712362	1204
3059030	1203
29466	1165
68892	1122
3118470	1084
483	925
2490855	919
2937985	843
1759399	824
2047	811
102148	787
76859	714
495	648
267212	625
1747	618
172042	617
2819619	609
1305	593
488	578
490	571
1871109	549
2993430	542
712357	541
2972775	511
2841264	492
28135	488
712361	480
2598453	461
1433513	460
33033	460
684066	449
248315	425
3077590	422
851	406
45634	395
1852377	394
257758	392
1773	381
1156431	379
76857	377
617123	361
43768	359
28129	351
860	349
562	328
544580	328
505	325
1302	314
712310	312
484	312
52773	306
735	287
2820817	277
2975324	255
539	247
78331	237
1547448	225
712435	218
1311	210
712710	200
40215	189
3038077	167
1839799	160
641148	145
78535	136
197575	115
2420308	110
2420310	99
33053	88
1853278	75
28901	70
2912188	69
1314	63
492	62
1308	57
632	51
113107	48
2666100	48
194197	46
1853276	46
496	45
34062	40
1583098	34
2709396	32
326522	32
28091	31
155615	30
1470200	30
1307	26
1815583	26
1931275	24
712368	22
2912675	21
2995414	20
573	20
470	20
249188	20
2382163	16
1234680	15
157691	15
730	15
747	15
640030	15
1902136	14
493	14
607712	13
285729	12
2954545	12
3077723	10
1338	10
1328	10
607711	10
714	10
109328	10
2954513	9
197614	9
550	9
1785996	9
157688	9
671211	9
2778911	8
1336	8
2995413	7
1501662	7
1334	7
672	7
2975349	7
1056807	7
1345	7
75985	6
623	6
153491	6
181655	6
38290	6
504	6
3058373	6
265175	6
2576376	6
1343	6
1443036	6
33040	6
82348	6
153493	5
326523	5
589437	5
738	5
1496	5
1280	5
1309	5
40542	5
28128	4
2093824	4
861445	4
715	4
1796644	4
1351	4
38304	4
216816	4
1392	4
1522312	4
712624	4
1335	4
315405	4
72	4
762	4
109472	4
400065	4
3081771	3
1491	3
282402	3
589436	3
669	3
732	3
750	3
51161	3
1396	3
29391	3
138074	3
221402	3
731	3
3028082	3
1341	3
1340	3
1310	3
2781599	3
1811193	3
2021971	3
1346	3
361101	3
1305738	3
1196083	3
3065910	2
1926494	2
57975	2
28450	2
1390	2
2598457	2
1529069	2
554406	2
859	2
861	2
2917790	2
2494234	2
1296	2
1648923	2
1423	2
1348	2
1326	2
1111760	2
150055	2
1608628	2
1639133	2
208962	2
47735	2
1499973	2
716	2
1486991	2
652716	2
28197	2
2789425	2
1502	2
1517	2
1796616	2
287	2
718	2
208224	2
712116	2
1354	2
1590	2
225991	1
47421	1
3110231	1
1160784	1
82633	1
2866570	1
1592897	1
297	1
1813468	1
1396826	1
3028084	1
3028083	1
2664091	1
76860	1
162156	1
779	1
34020	1
1329	1
89586	1
2750929	1
404405	1
712150	1
2705471	1
37332	1
2585119	1
856	1
2893885	1
29533	1
2971264	1
2809020	1
39695	1
486698	1
3049799	1
319707	1
133453	1
2528037	1
194196	1
1689272	1
147802	1
2093834	1
1405	1
492670	1
1428	1
69966	1
1619311	1
2026187	1
3082444	1
2086577	1
545501	1
129338	1
1349	1
1888195	1
1814128	1
2173853	1
186490	1
290	1
9	1
458197	1
82996	1
631	1
29484	1
180957	1
1352	1
3141541	1
615	1
2840371	1
2026186	1
2490633	1
1363	1
1599	1
2919598	1
82977	1
83655	1
1851514	1
413497	1
563	1
379893	1
624	1
67826	1
2879107	1
299767	1
881260	1
3003229	1
564	1
505341	1
158836	1
720	1
85402	1
753	1
739	1
2827233	1
2714931	1
2782167	1
97481	1
146827	1
44008	1
3043330	1
1905730	1
2485124	1
3057057	1
65700	1
29394	1
706438	1
181487	1
2794089	1
2709403	1
2675218	1
1050174	1
160386	1
178339	1
292800	1
2751313	1
2816908	1
3036303	1
3058393	1
1639	1
2086585	1
169679	1
673273	1
418240	1
2814294	1
332186	1
351052	1
645	1
644	1
1763998	1
2717374	1
86173	1
2738126	1
2954097	1
1898684	1
1697053	1
3054208	1
2057743	1
1720343	1
418719	1
670	1
1266052	1
666	1
38293	1
553611	1
663	1
157692	1
1407071	1
2006115	1
487316	1
2665156	1
1848766	1
2787628	1
1074311	1
83552	1
52227	1
837	1
76123	1
867595	1
2572088	1
712471	1
2913621	1
28125	1
3004105	1
3066279	1
2094	1
2098	1
136073	1
59512	1
1923378	1
