taxon	reads
487	214663
727	104834
9606	48171
729	17440
28132	9147
470565	7778
1318	7697
1660	5905
28037	5066
3059028	5046
2682456	4674
43675	4539
423477	4158
39777	3574
712623	3552
2899133	3521
2663009	3394
1304	3373
1177574	3252
46124	3233
1303	3015
485	2659
3098075	2600
199	2578
28449	2494
1313	2479
84135	2378
2682455	2365
486	2255
1379	2172
2972784	2020
2610896	1790
2759692	1700
712633	1696
38284	1692
3098076	1596
3077584	1534
28133	1521
157687	1519
39778	1497
28137	1471
114527	1464
28131	1427
712362	1283
655307	1270
3059030	1210
29466	1130
68892	1119
3118470	1113
652716	959
2490855	928
1759399	835
2047	818
102148	809
113107	808
726	778
1311	775
483	772
1382	770
2819619	683
76859	670
2937985	640
78331	627
1747	624
1305	620
172042	620
267212	603
33053	599
2993430	597
712357	556
1871109	542
712361	540
488	537
495	534
2841264	528
28135	498
1433513	477
33033	474
2972775	469
2598453	449
490	431
257758	418
1156431	415
248315	411
684066	409
3077590	397
1852377	395
45634	381
860	370
617123	368
43768	363
28129	342
544580	337
505	329
2975324	314
76857	312
52773	308
735	284
851	280
1302	277
562	271
2820817	267
484	255
539	251
496	245
712310	232
1547448	226
3038077	225
712435	219
40215	207
712710	201
1839799	200
