taxon	SRS013506	SRS013506_filtered	SRS014475	SRS014475_filtered	SRS014689	SRS014689_filtered	SRS019352	SRS019352_filtered	SRS050029	SRS050029_filtered	SRS054569	SRS054569_filtered	SRS056042	SRS056042_filtered	SRS065335	SRS065335_filtered	SRS097885	SRS097885_filtered	SRS098585	SRS098585_filtered	SRS1041031	SRS1041031_filtered	SRS1041129	SRS1041129_filtered	SRS104912	SRS104912_filtered	SRS105082	SRS105082_filtered	SRS142957	SRS142957_filtered	SRS143032	SRS143032_filtered	SRS143776	SRS143776_filtered	SRS144378	SRS144378_filtered	SRS146847	SRS146847_filtered	SRS147088	SRS147088_filtered	camisim_SRS013506_filtered	camisim_SRS014475_filtered	camisim_SRS014689_filtered	camisim_SRS019352_filtered	camisim_SRS050029_filtered	camisim_SRS054569_filtered	camisim_SRS056042_filtered	camisim_SRS065335_filtered	camisim_SRS097885_filtered	camisim_SRS098585_filtered	camisim_SRS1041031_filtered	camisim_SRS1041129_filtered	camisim_SRS104912_filtered	camisim_SRS105082_filtered	camisim_SRS142957_filtered	camisim_SRS143032_filtered	camisim_SRS143776_filtered	camisim_SRS144378_filtered	camisim_SRS146847_filtered	camisim_SRS147088_filtered	mess_SRS013506_filtered	mess_SRS014475_filtered	mess_SRS014689_filtered	mess_SRS019352_filtered	mess_SRS050029_filtered	mess_SRS054569_filtered	mess_SRS056042_filtered	mess_SRS065335_filtered	mess_SRS097885_filtered	mess_SRS098585_filtered	mess_SRS1041031_filtered	mess_SRS1041129_filtered	mess_SRS104912_filtered	mess_SRS105082_filtered	mess_SRS142957_filtered	mess_SRS143032_filtered	mess_SRS143776_filtered	mess_SRS144378_filtered	mess_SRS146847_filtered	mess_SRS147088_filtered
1871021	6	0	3	0	105	0	1	0	5	0	16	0	8	0	38	0	0	0	46	0	1853	1853	1540	1540	1722	1722	1249	1249	0	0	2	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	1833	1525	1715	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1844	1541	1708	1250	0	0	0	0	0	0
1979527	6	0	3	0	10	0	9	0	6	0	11	0	18	0	1	0	7	0	17	0	14	0	1	0	17	0	12	0	3	0	0	0	3	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2904245	6	0	3	0	9	0	0	0	27	0	5	0	0	0	6	0	1	0	0	0	22	0	10	0	104	0	146	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1515	6	0	2	0	24	0	0	0	4	0	6	0	2	0	11	0	0	0	1	0	1018	1018	447	447	146	0	29	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1024	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	460	0	0	0	0	0	0	0	0
1705	6	0	2	0	15	0	2	0	15	0	1	0	0	0	0	0	0	0	1	0	5	0	8	0	16	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1784714	6	0	2	0	14	0	5	0	81	0	18	0	2	0	16	0	0	0	0	0	20	0	2	0	40	0	64	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3039392	6	0	2	0	12	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	40	0	30	0	14	0	55	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2822760	6	0	2	0	2	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	3	0	63	0	58	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91844	6	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	25	0	4	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
433296	6	0	1	0	59	0	1	0	2	0	11	0	1	0	11	0	0	0	2	0	179	0	203	203	126	0	134	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0
1888915	6	0	1	0	22	0	1	0	3	0	7	0	1	0	26	0	0	0	0	0	32	0	28	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2518973	6	0	1	0	19	0	0	0	6	0	2	0	1	0	15	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2976676	6	0	1	0	19	0	0	0	2	0	4	0	2	0	6	0	0	0	1	0	9	0	3	0	7	0	14	0	0	0	0	0	2	0	2	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2923363	6	0	1	0	15	0	3	0	0	0	22	0	0	0	3	0	0	0	0	0	33	0	5	0	12	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
417574	6	0	1	0	11	0	0	0	6	0	2	0	1	0	11	0	0	0	0	0	10	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310575	6	0	1	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	17	0	21	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1738770	6	0	1	0	6	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005262	6	0	1	0	4	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	10	0	23	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2728020	6	0	1	0	1	0	2	0	2	0	1	0	4	0	0	0	0	0	2	0	74	0	2	0	111	0	106	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1742359	6	0	1	0	1	0	1	0	1	0	5	0	0	0	5	0	0	0	1	0	21	0	27	0	54	0	38	0	0	0	0	0	0	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29561	6	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	2	0	0	0	22	0	10	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3059820	6	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2903771	6	0	0	0	72	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	12	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1230341	6	0	0	0	62	0	1	0	2	0	1	0	0	0	4	0	0	0	0	0	19	0	19	0	41	0	58	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2806551	6	0	0	0	40	0	3	0	4	0	16	0	2	0	11	0	0	0	0	0	10	0	19	0	67	0	1	0	0	0	0	0	0	0	1	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
285983	6	0	0	0	40	0	1	0	1	0	1	0	0	0	1	0	0	0	2	0	38	0	29	0	50	0	10	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	6	0	0	0	30	0	0	0	1	0	2	0	2	0	69	0	0	0	0	0	28	0	17	0	7	0	34	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2954672	6	0	0	0	25	0	2	0	25	0	13	0	1	0	5	0	0	0	0	0	48	0	36	0	28	0	40	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1471761	6	0	0	0	24	0	7	0	1	0	11	0	0	0	3	0	0	0	3	0	45	0	9	0	36	0	69	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1628248	6	0	0	0	22	0	0	0	6	0	54	0	0	0	6	0	0	0	0	0	30	0	6	0	30	0	2	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174633	6	0	0	0	22	0	0	0	2	0	3	0	1	0	3	0	0	0	0	0	17	0	2	0	18	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2233542	6	0	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	16	0	43	0	43	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2705471	6	0	0	0	20	0	5	0	9	0	4	0	2	0	5	0	0	0	1	0	6	0	0	0	58	0	81	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3131995	6	0	0	0	19	0	2	0	4	0	7	0	3	0	4	0	0	0	1	0	31	0	27	0	39	0	106	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227942	6	0	0	0	19	0	0	0	1	0	8	0	0	0	3	0	0	0	1	0	13	0	11	0	28	0	4	0	0	0	0	0	0	0	0	0	21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0	0	0
1679444	6	0	0	0	18	0	0	0	23	0	1	0	0	0	8	0	0	0	3	0	37	0	36	0	171	0	80	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481914	6	0	0	0	18	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	5	0	3	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
293387	6	0	0	0	17	0	0	0	4	0	14	0	0	0	0	0	2	0	1	0	12	0	285	285	27	0	14	0	0	0	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338645	6	0	0	0	16	0	9	0	2	0	4	0	1	0	1	0	0	0	1	0	25	0	19	0	24	0	148	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82803	6	0	0	0	16	0	5	0	14	0	1	0	0	0	4	0	0	0	0	0	54	0	32	0	29	0	16	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3025672	6	0	0	0	16	0	1	0	13	0	9	0	2	0	2	0	0	0	23	0	16	0	52	0	36	0	71	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2932255	6	0	0	0	16	0	1	0	1	0	6	0	0	0	1	0	0	0	0	0	30	0	12	0	37	0	61	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317658	6	0	0	0	15	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1656159	6	0	0	0	15	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
911092	6	0	0	0	14	0	0	0	0	0	27	0	1	0	4	0	0	0	0	0	104	0	24	0	35	0	2	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
877500	6	0	0	0	13	0	3	0	0	0	4	0	0	0	6	0	0	0	0	0	9	0	2	0	35	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079575	6	0	0	0	13	0	0	0	13	0	11	0	0	0	0	0	0	0	1	0	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2940302	6	0	0	0	12	0	3	0	28	0	13	0	1	0	10	0	0	0	0	0	38	0	26	0	2	0	59	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2714928	6	0	0	0	12	0	0	0	7	0	13	0	0	0	0	0	0	0	2	0	27	0	49	0	23	0	11	0	1	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1230533	6	0	0	0	12	0	0	0	2	0	2	0	1	0	1	0	0	0	0	0	7	0	18	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137816	6	0	0	0	11	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	4	0	2	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884634	6	0	0	0	11	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	7	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1295642	6	0	0	0	10	0	0	0	16	0	5	0	0	0	3	0	0	0	0	0	24	0	6	0	16	0	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
213	6	0	0	0	9	0	3	0	0	0	12	0	1	0	7	0	0	0	0	0	16	0	11	0	28	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3073561	6	0	0	0	9	0	1	0	0	0	8	0	1	0	9	0	0	0	1	0	3	0	4	0	213	213	33	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
1218493	6	0	0	0	9	0	0	0	7	0	4	0	0	0	2	0	35	0	23	0	8	0	23	0	14	0	4	0	1	0	0	0	189	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0
2048283	6	0	0	0	9	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	14	0	11	0	11	0	13	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171291	6	0	0	0	8	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	31	0	78	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
981384	6	0	0	0	8	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	76	0	29	0	20	0	14	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481923	6	0	0	0	8	0	0	0	23	0	5	0	0	0	4	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1234143	6	0	0	0	8	0	0	0	1	0	4	0	1	0	2	0	0	0	0	0	22	0	6	0	14	0	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1173263	6	0	0	0	8	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	8	0	3	0	38	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3078812	6	0	0	0	8	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	14	0	51	0	20	0	1	0	0	0	0	0	2	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266805	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248039	6	0	0	0	7	0	1	0	2	0	10	0	0	0	6	0	0	0	0	0	41	0	53	0	61	0	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2382161	6	0	0	0	7	0	0	0	2	0	4	0	0	0	8	0	0	0	1	0	24	0	11	0	19	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29291	6	0	0	0	7	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	9	0	6	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1758374	6	0	0	0	7	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	38	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2512240	6	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2778068	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2976982	6	0	0	0	6	0	7	0	2	0	4	0	1	0	0	0	0	0	2	0	20	0	9	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264636	6	0	0	0	6	0	3	0	0	0	7	0	0	0	4	0	0	0	0	0	57	0	124	0	31	0	2	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3016090	6	0	0	0	6	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	8	0	5	0	19	0	21	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1702238	6	0	0	0	6	0	0	0	0	0	18	0	5	0	8	0	0	0	22	0	107	0	9	0	4	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45065	6	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	15	0	14	0	47	0	53	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752063	6	0	0	0	5	0	3	0	29	0	5	0	2	0	4	0	0	0	0	0	14	0	1	0	15	0	9	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2203219	6	0	0	0	5	0	3	0	0	0	1	0	1	0	2	0	0	0	1	0	32	0	6	0	50	0	159	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974213	6	0	0	0	5	0	2	0	1	0	2	0	1	0	2	0	0	0	0	0	16	0	38	0	61	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2479546	6	0	0	0	5	0	2	0	0	0	9	0	1	0	1	0	0	0	0	0	7	0	1	0	8	0	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198467	6	0	0	0	5	0	1	0	3	0	7	0	1	0	0	0	0	0	0	0	20	0	16	0	17	0	7	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
