taxon	SRS013506	SRS013506_filtered	SRS014475	SRS014475_filtered	SRS014689	SRS014689_filtered	SRS019352	SRS019352_filtered	SRS050029	SRS050029_filtered	SRS054569	SRS054569_filtered	SRS056042	SRS056042_filtered	SRS065335	SRS065335_filtered	SRS097885	SRS097885_filtered	SRS098585	SRS098585_filtered	SRS1041031	SRS1041031_filtered	SRS1041129	SRS1041129_filtered	SRS104912	SRS104912_filtered	SRS105082	SRS105082_filtered	SRS142957	SRS142957_filtered	SRS143032	SRS143032_filtered	SRS143776	SRS143776_filtered	SRS144378	SRS144378_filtered	SRS146847	SRS146847_filtered	SRS147088	SRS147088_filtered	camisim_SRS013506_filtered	camisim_SRS014475_filtered	camisim_SRS014689_filtered	camisim_SRS019352_filtered	camisim_SRS050029_filtered	camisim_SRS054569_filtered	camisim_SRS056042_filtered	camisim_SRS065335_filtered	camisim_SRS097885_filtered	camisim_SRS098585_filtered	camisim_SRS1041031_filtered	camisim_SRS1041129_filtered	camisim_SRS104912_filtered	camisim_SRS105082_filtered	camisim_SRS142957_filtered	camisim_SRS143032_filtered	camisim_SRS143776_filtered	camisim_SRS144378_filtered	camisim_SRS146847_filtered	camisim_SRS147088_filtered	mess_SRS013506_filtered	mess_SRS014475_filtered	mess_SRS014689_filtered	mess_SRS019352_filtered	mess_SRS050029_filtered	mess_SRS054569_filtered	mess_SRS056042_filtered	mess_SRS065335_filtered	mess_SRS097885_filtered	mess_SRS098585_filtered	mess_SRS1041031_filtered	mess_SRS1041129_filtered	mess_SRS104912_filtered	mess_SRS105082_filtered	mess_SRS142957_filtered	mess_SRS143032_filtered	mess_SRS143776_filtered	mess_SRS144378_filtered	mess_SRS146847_filtered	mess_SRS147088_filtered
9606	130354	130354	48171	48171	50185	50185	15564	15564	23305	23305	33458	33458	17639	17639	89931	89931	36276	36276	46925	46925	4000	4000	3507	3507	9053	9053	4158	4158	47200	47200	48584	48584	36907	36907	80337	80337	53987	53987	2171	2171	132149	48635	51868	15886	24130	34622	17900	91495	36652	47457	4182	3622	9372	4899	47749	48437	37527	80611	54484	2373	132359	48817	51981	15853	24079	34713	18001	91734	36767	47466	4192	3644	9388	5004	47885	49177	37517	81389	54687	2349
257758	128404	128404	418	418	2240	2240	7396	7396	18134	18134	259815	259815	3802	3802	566	566	4	0	488	488	1	0	46	0	18	0	8	0	2	0	39	0	0	0	3251	3251	927	927	108	0	111692	392	2220	6986	17219	226007	3521	537	0	435	0	0	0	0	0	0	0	2821	814	0	111722	398	2247	7047	17528	225007	3461	579	0	432	0	0	0	0	0	0	0	2829	832	0
1433513	125686	125686	477	477	4337	4337	11147	11147	33681	33681	229827	229827	6819	6819	561	561	9	0	1116	1116	1	0	98	0	49	0	13	0	2	0	134	0	0	0	1696	1696	640	640	246	246	114402	460	4271	10696	32782	208974	6455	536	0	1063	0	0	0	0	0	0	0	1551	595	274	114349	439	4285	10808	32947	209237	6401	583	0	1050	0	0	0	0	0	0	0	1590	607	254
2598453	105087	105087	449	449	5352	5352	7601	7601	32229	32229	236124	236124	4693	4693	1258	1258	2	0	524	524	1	0	60	0	25	0	4	0	1	0	63	0	1	0	1584	1584	765	765	571	571	104298	461	5607	7952	32947	232656	4785	1284	0	552	0	0	0	0	0	0	0	1570	754	611	104375	459	5560	7906	32916	233041	4737	1287	0	546	0	0	0	0	0	0	0	1597	757	621
483	55513	55513	772	772	2	0	2417	2417	1039	1039	2925	2925	91	0	1465	1465	1	0	39	0	2	0	7	0	13	0	11	0	0	0	0	0	0	0	886	886	0	0	868	868	54388	925	0	2389	1101	3163	0	1639	0	0	0	0	0	0	0	0	0	894	0	946	54296	896	0	2445	1118	3145	0	1687	0	0	0	0	0	0	0	0	0	892	0	963
137732	38318	38318	139	0	1747	1747	7085	7085	1083	1083	26215	26215	28	0	353	353	1	0	1500	1500	86	0	175	0	67	0	36	0	1	0	9	0	0	0	288	288	40	0	537	537	36502	0	1680	6747	1050	25001	0	345	0	1569	0	0	0	0	0	0	0	280	0	527	36540	0	1707	6783	1051	25031	0	353	0	1603	0	0	0	0	0	0	0	286	0	529
43675	34422	34422	4539	4539	113726	113726	2360	2360	397167	397167	12794	12794	40074	40074	15790	15790	8	0	219	219	93	0	23	0	557	557	87	0	8	0	1177	1177	1	0	11846	11846	6	0	20477	20477	34377	4515	113731	2358	397166	12802	40026	15754	0	218	0	0	555	0	0	1160	0	11724	0	20486	34443	4535	113800	2360	397160	12800	40079	15794	0	220	0	0	554	0	0	1177	0	11840	0	20483
3077584	29576	29576	1534	1534	39882	39882	2359	2359	35973	35973	104663	104663	3415	3415	13700	13700	2	0	127	0	9	0	55	0	41	0	16	0	2	0	293	293	0	0	1437	1437	565	565	3577	3577	30130	1528	40074	2491	36417	104753	3446	13553	0	0	0	0	0	0	0	281	0	1441	574	3645	30059	1555	39983	2529	36436	104626	3477	13571	0	0	0	0	0	0	0	287	0	1426	563	3646
113107	26443	26443	808	808	9403	9403	5023	5023	71000	71000	57600	57600	3470	3470	1805	1805	13	0	189	0	28	0	23	0	38	0	12	0	0	0	79	0	1	0	706	706	159	0	3093	3093	2348	0	895	647	3338	4648	273	0	0	0	0	0	0	0	0	0	0	0	0	292	2317	0	802	628	3493	4606	254	0	0	0	0	0	0	0	0	0	0	0	0	284
1302	25765	25765	277	277	5774	5774	17311	17311	8644	8644	22371	22371	20320	20320	585	585	212	212	255	255	58	0	60	0	59	0	19	0	5	0	46	0	0	0	389	389	105	0	9262	9262	26720	314	6220	17502	9823	24850	20129	694	203	265	0	0	0	0	0	0	0	425	0	9370	26750	298	6297	17627	9690	24832	19983	630	209	264	0	0	0	0	0	0	0	436	0	9354
