task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
77	a3/3c8c7c	83652	RUN:CAMISIM:SEQKIT_SPLIT2 (8)	COMPLETED	0	2024-09-19 01:36:04.253	30s	1s	259.1%	2 MB	1.2 GB	40.8 MB	18.8 MB
45	31/ca823b	83618	RUN:CAMISIM:SIMULATE (5)	COMPLETED	0	2024-09-19 01:28:59.326	9m 25s	3m 22s	113.6%	33.1 GB	40.9 GB	2.5 GB	1.7 GB
80	b7/ed483e	83653	RUN:CAMISIM:CAT_FASTQ (5)	COMPLETED	0	2024-09-19 01:38:24.243	10s	21ms	70.9%	0	0	18.7 MB	18.6 MB
81	01/b39d7a	83654	RUN:CAMISIM:SEQKIT_SORT (5)	COMPLETED	0	2024-09-19 01:38:34.258	30s	1s	153.9%	2 MB	1.2 GB	18.7 MB	36.7 MB
82	c1/b808fc	83655	RUN:CAMISIM:SEQKIT_SPLIT2 (5)	COMPLETED	0	2024-09-19 01:39:04.244	30s	1s	254.4%	2 MB	1.2 GB	36.8 MB	16.9 MB
46	33/643ab8	83619	RUN:CAMISIM:SIMULATE (9)	COMPLETED	0	2024-09-19 01:29:04.227	12m 25s	6m 16s	114.3%	38.7 GB	50.7 GB	4 GB	3.2 GB
83	0a/e5232f	83656	RUN:CAMISIM:CAT_FASTQ (9)	COMPLETED	0	2024-09-19 01:41:29.251	5s	32ms	128.5%	0	0	31.8 MB	31.6 MB
15	33/085194	83600	RUN:MESS (640)	COMPLETED	0	2024-09-19 01:28:54.761	12m 49s	12m 45s	938.6%	25.1 GB	41.6 GB	257.7 GB	224.4 GB
84	cd/902ec8	83657	RUN:CAMISIM:SEQKIT_SORT (9)	COMPLETED	0	2024-09-19 01:41:34.249	30s	1s	159.3%	4 MB	1.2 GB	31.7 MB	62.6 MB
85	6c/d3d561	83658	RUN:CAMISIM:TABLES (640)	COMPLETED	0	2024-09-19 01:41:44.344	19.9s	1s	69.6%	8 MB	17.6 MB	13.1 MB	139.4 KB
86	5f/fb8bd5	83659	RUN:CAMISIM:SEQKIT_SPLIT2 (9)	COMPLETED	0	2024-09-19 01:42:04.249	30s	1s	288.6%	2 MB	1.2 GB	62.7 MB	28.8 MB
87	bf/504314	83660	RUN:CAMISIM:CONFIG (640)	COMPLETED	0	2024-09-19 01:42:04.256	30s	1s	74.2%	5 MB	16.2 MB	13.2 MB	1.4 KB
